level,vocation,slot_head,slot_armor,slot_legs,slot_feet,slot_right,slot_left,slot_backpack
53,1,3365,3388,3363,3555,8094,3423,2854
53,2,3365,3388,3363,3555,3067,3423,2854
53,3,3365,3366,3363,3555,7367,3423,2854
53,4,3365,3366,3363,3555,14043,,2854
54,1,3365,3388,3363,3555,8094,3423,2854
54,2,3365,3388,3363,3555,3067,3423,2854
54,3,3365,3366,3363,3555,7367,3423,2854
54,4,3365,3366,3363,3555,14043,,2854
55,1,3365,3388,3363,3555,8094,3423,2854
55,2,3365,3388,3363,3555,3067,3423,2854
55,3,3365,3366,3363,3555,7367,3423,2854
55,4,3365,3366,3363,3555,3281,,2854
56,1,3365,3388,3363,3555,8094,3423,2854
56,2,3365,3388,3363,3555,3067,3423,2854
56,3,3365,3366,3363,3555,7367,3423,2854
56,4,3365,3366,3363,3555,3281,,2854
57,1,3365,3388,3363,3555,8094,3423,2854
57,2,3365,3388,3363,3555,3067,3423,2854
57,3,3365,3366,3363,3555,7367,3423,2854
57,4,3365,3366,3363,3555,3281,,2854
58,1,3365,3388,3363,3555,8094,3423,2854
58,2,3365,3388,3363,3555,3067,3423,2854
58,3,3365,3366,3363,3555,7367,3423,2854
58,4,3365,3366,3363,3555,11657,,2854
59,1,3365,3388,3363,3555,8094,3423,2854
59,2,3365,3388,3363,3555,3067,3423,2854
59,3,3365,3366,3363,3555,7367,3423,2854
59,4,3365,3366,3363,3555,11657,,2854
60,1,3365,3388,3363,3555,8094,3423,2854
60,2,3365,3388,3363,3555,3067,3423,2854
60,3,3365,3366,3363,3555,21158,3423,2854
60,4,3365,3366,3363,3555,3302,,2854
61,1,3365,3388,3363,3555,8094,3423,2854
61,2,3365,3388,3363,3555,3067,3423,2854
61,3,3365,3366,3363,3555,21158,3423,2854
61,4,3365,3366,3363,3555,3302,,2854
62,1,3365,3388,3363,3555,8094,3423,2854
62,2,3365,3388,3363,3555,3067,3423,2854
62,3,3365,3366,3363,3555,21158,3423,2854
62,4,3365,3366,3363,3555,3302,,2854
63,1,3365,3388,3363,3555,8094,3423,2854
63,2,3365,3388,3363,3555,3067,3423,2854
63,3,3365,3366,3363,3555,21158,3423,2854
63,4,3365,3366,3363,3555,3302,,2854
64,1,3365,3388,3363,3555,8094,3423,2854
64,2,3365,3388,3363,3555,3067,3423,2854
64,3,3365,3366,3363,3555,21158,3423,2854
64,4,3365,3366,3363,3555,3302,,2854
65,1,3365,3388,3363,3555,16096,3423,2854
65,2,3365,3388,3363,3555,16117,3423,2854
65,3,3365,3366,3363,3555,21158,3423,2854
65,4,3365,3366,3363,3555,3332,,2854
66,1,3365,3388,3363,3555,16096,3423,2854
66,2,3365,3388,3363,3555,16117,3423,2854
66,3,3365,3366,3363,3555,21158,3423,2854
66,4,3365,3366,3363,3555,3332,,2854
67,1,3365,3388,3363,3555,16096,3423,2854
67,2,3365,3388,3363,3555,16117,3423,2854
67,3,3365,3366,3363,3555,21158,3423,2854
67,4,3365,3366,3363,3555,3332,,2854
68,1,3365,3388,3363,3555,16096,3423,2854
68,2,3365,3388,3363,3555,16117,3423,2854
68,3,3365,3366,3363,3555,21158,3423,2854
68,4,3365,3366,3363,3555,3332,,2854
69,1,3365,3388,3363,3555,16096,3423,2854
69,2,3365,3388,3363,3555,16117,3423,2854
69,3,3365,3366,3363,3555,21158,3423,2854
69,4,3365,3366,3363,3555,3332,,2854
70,1,3365,3388,3363,3555,16096,3423,2854
70,2,3365,3388,3363,3555,16117,3423,2854
70,3,3365,3366,3363,3555,21158,3423,2854
70,4,3365,3366,3363,3555,3331,,2854
71,1,3365,3388,3363,3555,16096,3423,2854
71,2,3365,3388,3363,3555,16117,3423,2854
71,3,3365,3366,3363,3555,21158,3423,2854
71,4,3365,3366,3363,3555,3331,,2854
72,1,3365,3388,3363,3555,16096,3423,2854
72,2,3365,3388,3363,3555,16117,3423,2854
72,3,3365,3366,3363,3555,21158,3423,2854
72,4,3365,3366,3363,3555,3331,,2854
73,1,3365,3388,3363,3555,16096,3423,2854
73,2,3365,3388,3363,3555,16117,3423,2854
73,3,3365,3366,3363,3555,21158,3423,2854
73,4,3365,3366,3363,3555,3331,,2854
74,1,3365,3388,3363,3555,16096,3423,2854
74,2,3365,3388,3363,3555,16117,3423,2854
74,3,3365,3366,3363,3555,21158,3423,2854
74,4,3365,3366,3363,3555,3331,,2854
75,1,3365,3388,3363,3555,16096,3423,2854
75,2,3365,3388,3363,3555,16117,3423,2854
75,3,3365,3366,3363,3555,21158,3423,2854
75,4,3365,3366,3363,3555,20067,,2854
76,1,3365,3388,3363,3555,16096,3423,2854
76,2,3365,3388,3363,3555,16117,3423,2854
76,3,3365,3366,3363,3555,21158,3423,2854
76,4,3365,3366,3363,3555,20067,,2854
77,1,3365,3388,3363,3555,16096,3423,2854
77,2,3365,3388,3363,3555,16117,3423,2854
77,3,3365,3366,3363,3555,21158,3423,2854
77,4,3365,3366,3363,3555,20067,,2854
78,1,3365,3388,3363,3555,16096,3423,2854
78,2,3365,3388,3363,3555,16117,3423,2854
78,3,3365,3366,3363,3555,21158,3423,2854
78,4,3365,3366,3363,3555,20067,,2854
79,1,3365,3388,3363,3555,16096,3423,2854
79,2,3365,3388,3363,3555,16117,3423,2854
79,3,3365,3366,3363,3555,21158,3423,2854
79,4,3365,3366,3363,3555,20067,,2854
80,1,3365,3388,3363,3555,16096,3423,2854
80,2,3365,3388,3363,3555,16117,3423,2854
80,3,3365,3366,3363,3555,7368,3423,2854
80,4,3365,3366,3363,3555,20067,,2854
81,1,3365,3388,3363,3555,16096,3423,2854
81,2,3365,3388,3363,3555,16117,3423,2854
81,3,3365,3366,3363,3555,7368,3423,2854
81,4,3365,3366,3363,3555,20067,,2854
82,1,3365,3388,3363,3555,16096,3423,2854
82,2,3365,3388,3363,3555,16117,3423,2854
82,3,3365,3366,3363,3555,7368,3423,2854
82,4,3365,3366,3363,3555,20067,,2854
83,1,3365,3388,3363,3555,16096,3423,2854
83,2,3365,3388,3363,3555,16117,3423,2854
83,3,3365,3366,3363,3555,7368,3423,2854
83,4,3365,3366,3363,3555,20067,,2854
84,1,3365,3388,3363,3555,16096,3423,2854
84,2,3365,3388,3363,3555,16117,3423,2854
84,3,3365,3366,3363,3555,7368,3423,2854
84,4,3365,3366,3363,3555,20067,,2854
85,1,3365,3388,3363,3555,16096,3423,2854
85,2,3365,3388,3363,3555,16117,3423,2854
85,3,3365,3366,3363,3555,7368,3423,2854
85,4,3365,3366,3363,3555,7423,,2854
86,1,3365,3388,3363,3555,16096,3423,2854
86,2,3365,3388,3363,3555,16117,3423,2854
86,3,3365,3366,3363,3555,7368,3423,2854
86,4,3365,3366,3363,3555,7423,,2854
87,1,3365,3388,3363,3555,16096,3423,2854
87,2,3365,3388,3363,3555,16117,3423,2854
87,3,3365,3366,3363,3555,7368,3423,2854
87,4,3365,3366,3363,3555,7423,,2854
88,1,3365,3388,3363,3555,16096,3423,2854
88,2,3365,3388,3363,3555,16117,3423,2854
88,3,3365,3366,3363,3555,7368,3423,2854
88,4,3365,3366,3363,3555,7423,,2854
89,1,3365,3388,3363,3555,16096,3423,2854
89,2,3365,3388,3363,3555,16117,3423,2854
89,3,3365,3366,3363,3555,7368,3423,2854
89,4,3365,3366,3363,3555,7423,,2854
90,1,3365,3388,3363,3555,16096,3423,2854
90,2,3365,3388,3363,3555,16117,3423,2854
90,3,3365,3366,3363,3555,7368,3423,2854
90,4,3365,3366,3363,3555,7423,,2854
91,1,3365,3388,3363,3555,16096,3423,2854
91,2,3365,3388,3363,3555,16117,3423,2854
91,3,3365,3366,3363,3555,7368,3423,2854
91,4,3365,3366,3363,3555,7423,,2854
92,1,3365,3388,3363,3555,16096,3423,2854
92,2,3365,3388,3363,3555,16117,3423,2854
92,3,3365,3366,3363,3555,7368,3423,2854
92,4,3365,3366,3363,3555,7423,,2854
93,1,3365,3388,3363,3555,16096,3423,2854
93,2,3365,3388,3363,3555,16117,3423,2854
93,3,3365,3366,3363,3555,7368,3423,2854
93,4,3365,3366,3363,3555,7423,,2854
94,1,3365,3388,3363,3555,16096,3423,2854
94,2,3365,3388,3363,3555,16117,3423,2854
94,3,3365,3366,3363,3555,7368,3423,2854
94,4,3365,3366,3363,3555,7423,,2854
95,1,3365,3388,3363,3555,16096,3423,2854
95,2,3365,3388,3363,3555,16117,3423,2854
95,3,3365,3366,3363,3555,7368,3423,2854
95,4,3365,3366,3363,3555,3303,,2854
96,1,3365,3388,3363,3555,16096,3423,2854
96,2,3365,3388,3363,3555,16117,3423,2854
96,3,3365,3366,3363,3555,7368,3423,2854
96,4,3365,3366,3363,3555,3303,,2854
97,1,3365,3388,3363,3555,16096,3423,2854
97,2,3365,3388,3363,3555,16117,3423,2854
97,3,3365,3366,3363,3555,7368,3423,2854
97,4,3365,3366,3363,3555,3303,,2854
98,1,3365,3388,3363,3555,16096,3423,2854
98,2,3365,3388,3363,3555,16117,3423,2854
98,3,3365,3366,3363,3555,7368,3423,2854
98,4,3365,3366,3363,3555,3303,,2854
99,1,3365,3388,3363,3555,16096,3423,2854
99,2,3365,3388,3363,3555,16117,3423,2854
99,3,3365,3366,3363,3555,7368,3423,2854
99,4,3365,3366,3363,3555,3303,,2854
100,1,3365,3388,3363,3555,16096,3423,2854
100,2,3365,3388,3363,3555,16117,3423,2854
100,3,3365,3366,3363,3555,7368,3423,2854
100,4,3365,3366,3363,3555,3303,,2854
101,1,3365,3388,3363,3555,16096,3423,2854
101,2,3365,3388,3363,3555,16117,3423,2854
101,3,3365,3366,3363,3555,7368,3423,2854
101,4,3365,3366,3363,3555,3303,,2854
102,1,3365,3388,3363,3555,16096,3423,2854
102,2,3365,3388,3363,3555,16117,3423,2854
102,3,3365,3366,3363,3555,7368,3423,2854
102,4,3365,3366,3363,3555,3303,,2854
103,1,3365,3388,3363,3555,16096,3423,2854
103,2,3365,3388,3363,3555,16117,3423,2854
103,3,3365,3366,3363,3555,7368,3423,2854
103,4,3365,3366,3363,3555,3303,,2854
104,1,3365,3388,3363,3555,16096,3423,2854
104,2,3365,3388,3363,3555,16117,3423,2854
104,3,3365,3366,3363,3555,7368,3423,2854
104,4,3365,3366,3363,3555,3303,,2854
105,1,3365,3388,3363,3555,16096,3423,2854
105,2,3365,3388,3363,3555,16117,3423,2854
105,3,3365,3366,3363,3555,7368,3423,2854
105,4,3365,3366,3363,3555,3303,,2854
106,1,3365,3388,3363,3555,16096,3423,2854
106,2,3365,3388,3363,3555,16117,3423,2854
106,3,3365,3366,3363,3555,7368,3423,2854
106,4,3365,3366,3363,3555,3303,,2854
107,1,3365,3388,3363,3555,16096,3423,2854
107,2,3365,3388,3363,3555,16117,3423,2854
107,3,3365,3366,3363,3555,7368,3423,2854
107,4,3365,3366,3363,3555,3303,,2854
108,1,3365,3388,3363,3555,16096,3423,2854
108,2,3365,3388,3363,3555,16117,3423,2854
108,3,3365,3366,3363,3555,7368,3423,2854
108,4,3365,3366,3363,3555,3303,,2854
109,1,3365,3388,3363,3555,16096,3423,2854
109,2,3365,3388,3363,3555,16117,3423,2854
109,3,3365,3366,3363,3555,7368,3423,2854
109,4,3365,3366,3363,3555,3303,,2854
110,1,3365,3388,3363,3555,16096,3423,2854
110,2,3365,3388,3363,3555,16117,3423,2854
110,3,3365,3366,3363,3555,7368,3423,2854
110,4,3365,3366,3363,3555,3303,,2854
111,1,3365,3388,3363,3555,16096,3423,2854
111,2,3365,3388,3363,3555,16117,3423,2854
111,3,3365,3366,3363,3555,7368,3423,2854
111,4,3365,3366,3363,3555,3303,,2854
112,1,3365,3388,3363,3555,16096,3423,2854
112,2,3365,3388,3363,3555,16117,3423,2854
112,3,3365,3366,3363,3555,7368,3423,2854
112,4,3365,3366,3363,3555,3303,,2854
113,1,3365,3388,3363,3555,16096,3423,2854
113,2,3365,3388,3363,3555,16117,3423,2854
113,3,3365,3366,3363,3555,7368,3423,2854
113,4,3365,3366,3363,3555,3303,,2854
114,1,3365,3388,3363,3555,16096,3423,2854
114,2,3365,3388,3363,3555,16117,3423,2854
114,3,3365,3366,3363,3555,7368,3423,2854
114,4,3365,3366,3363,3555,3303,,2854
115,1,3365,3388,3363,3555,16096,3423,2854
115,2,3365,3388,3363,3555,16117,3423,2854
115,3,3365,3366,3363,3555,7368,3423,2854
115,4,3365,3366,3363,3555,3303,,2854
116,1,3365,3388,3363,3555,16096,3423,2854
116,2,3365,3388,3363,3555,16117,3423,2854
116,3,3365,3366,3363,3555,7368,3423,2854
116,4,3365,3366,3363,3555,3303,,2854
117,1,3365,3388,3363,3555,16096,3423,2854
117,2,3365,3388,3363,3555,16117,3423,2854
117,3,3365,3366,3363,3555,7368,3423,2854
117,4,3365,3366,3363,3555,3303,,2854
118,1,3365,3388,3363,3555,16096,3423,2854
118,2,3365,3388,3363,3555,16117,3423,2854
118,3,3365,3366,3363,3555,7368,3423,2854
118,4,3365,3366,3363,3555,3303,,2854
119,1,3365,3388,3363,3555,16096,3423,2854
119,2,3365,3388,3363,3555,16117,3423,2854
119,3,3365,3366,3363,3555,7368,3423,2854
119,4,3365,3366,3363,3555,3303,,2854
120,1,3365,3388,3363,3555,16096,3423,2854
120,2,3365,3388,3363,3555,16117,3423,2854
120,3,3365,3366,3363,3555,7368,3423,2854
120,4,3365,3366,3363,3555,3296,,2854
121,1,3365,3388,3363,3555,16096,3423,2854
121,2,3365,3388,3363,3555,16117,3423,2854
121,3,3365,3366,3363,3555,7368,3423,2854
121,4,3365,3366,3363,3555,3296,,2854
122,1,3365,3388,3363,3555,16096,3423,2854
122,2,3365,3388,3363,3555,16117,3423,2854
122,3,3365,3366,3363,3555,7368,3423,2854
122,4,3365,3366,3363,3555,3296,,2854
123,1,3365,3388,3363,3555,16096,3423,2854
123,2,3365,3388,3363,3555,16117,3423,2854
123,3,3365,3366,3363,3555,7368,3423,2854
123,4,3365,3366,3363,3555,3296,,2854
124,1,3365,3388,3363,3555,16096,3423,2854
124,2,3365,3388,3363,3555,16117,3423,2854
124,3,3365,3366,3363,3555,7368,3423,2854
124,4,3365,3366,3363,3555,3296,,2854
125,1,3365,3388,3363,3555,16096,3423,2854
125,2,3365,3388,3363,3555,16117,3423,2854
125,3,3365,3366,3363,3555,7368,3423,2854
125,4,3365,3366,3363,3555,3296,,2854
126,1,3365,3388,3363,3555,16096,3423,2854
126,2,3365,3388,3363,3555,16117,3423,2854
126,3,3365,3366,3363,3555,7368,3423,2854
126,4,3365,3366,3363,3555,3296,,2854
127,1,3365,3388,3363,3555,16096,3423,2854
127,2,3365,3388,3363,3555,16117,3423,2854
127,3,3365,3366,3363,3555,7368,3423,2854
127,4,3365,3366,3363,3555,3296,,2854
128,1,3365,3388,3363,3555,16096,3423,2854
128,2,3365,3388,3363,3555,16117,3423,2854
128,3,3365,3366,3363,3555,7368,3423,2854
128,4,3365,3366,3363,3555,3296,,2854
129,1,3365,3388,3363,3555,16096,3423,2854
129,2,3365,3388,3363,3555,16117,3423,2854
129,3,3365,3366,3363,3555,7368,3423,2854
129,4,3365,3366,3363,3555,3296,,2854
130,1,3365,3388,3363,3555,16096,3423,2854
130,2,3365,3388,3363,3555,16117,3423,2854
130,3,3365,3366,3363,3555,7368,3423,2854
130,4,3365,3366,3363,3555,3296,,2854
131,1,3365,3388,3363,3555,16096,3423,2854
131,2,3365,3388,3363,3555,16117,3423,2854
131,3,3365,3366,3363,3555,7368,3423,2854
131,4,3365,3366,3363,3555,3296,,2854
132,1,3365,3388,3363,3555,16096,3423,2854
132,2,3365,3388,3363,3555,16117,3423,2854
132,3,3365,3366,3363,3555,7368,3423,2854
132,4,3365,3366,3363,3555,3296,,2854
133,1,3365,3388,3363,3555,16096,3423,2854
133,2,3365,3388,3363,3555,16117,3423,2854
133,3,3365,3366,3363,3555,7368,3423,2854
133,4,3365,3366,3363,3555,3296,,2854
134,1,3365,3388,3363,3555,16096,3423,2854
134,2,3365,3388,3363,3555,16117,3423,2854
134,3,3365,3366,3363,3555,7368,3423,2854
134,4,3365,3366,3363,3555,3296,,2854
135,1,3365,3388,3363,3555,16096,3423,2854
135,2,3365,3388,3363,3555,16117,3423,2854
135,3,3365,3366,3363,3555,7368,3423,2854
135,4,3365,3366,3363,3555,3296,,2854
136,1,3365,3388,3363,3555,16096,3423,2854
136,2,3365,3388,3363,3555,16117,3423,2854
136,3,3365,3366,3363,3555,7368,3423,2854
136,4,3365,3366,3363,3555,3296,,2854
137,1,3365,3388,3363,3555,16096,3423,2854
137,2,3365,3388,3363,3555,16117,3423,2854
137,3,3365,3366,3363,3555,7368,3423,2854
137,4,3365,3366,3363,3555,3296,,2854
138,1,3365,3388,3363,3555,16096,3423,2854
138,2,3365,3388,3363,3555,16117,3423,2854
138,3,3365,3366,3363,3555,7368,3423,2854
138,4,3365,3366,3363,3555,3296,,2854
139,1,3365,3388,3363,3555,16096,3423,2854
139,2,3365,3388,3363,3555,16117,3423,2854
139,3,3365,3366,3363,3555,7368,3423,2854
139,4,3365,3366,3363,3555,3296,,2854
140,1,3365,3388,3363,3555,16096,3423,2854
140,2,3365,3388,3363,3555,16117,3423,2854
140,3,3365,3366,3363,3555,7368,3423,2854
140,4,3365,3366,3363,3555,3278,,2854
141,1,3365,3388,3363,3555,16096,3423,2854
141,2,3365,3388,3363,3555,16117,3423,2854
141,3,3365,3366,3363,3555,7368,3423,2854
141,4,3365,3366,3363,3555,3278,,2854
