id	name	level	vocation	vocation_id	town_id
65106	Freya Shadowbane	155	druid	6	5
65107	Ragnar Shadowbane	156	sorcerer	5	8
65108	Astrid Shadowbane	157	knight	8	14
65109	Cedric Shadowbane	158	paladin	7	15
65110	Elara Shadowbane	159	knight	8	14
65111	Finn Shadowbane	160	knight	8	14
65112	Gwen Shadowbane	161	paladin	7	13
65113	Henrik Shadowbane	162	knight	8	5
65114	Isla Shadowbane	163	sorcerer	5	16
65115	Jorik Shadowbane	164	knight	8	10
65116	Keira Shadowbane	165	paladin	7	13
65117	Leander Shadowbane	166	paladin	7	14
65118	Mira Shadowbane	167	sorcerer	5	11
65119	Nikolai Shadowbane	168	paladin	7	20
65120	Ophelia Shadowbane	169	knight	8	22
65121	Omiros Shadowbane	170	sorcerer	5	20
65122	Borkent Shadowbane	171	druid	6	17
65123	Azir Shadowbane	172	druid	6	14
65124	Plaros Shadowbane	173	knight	8	9
65125	Paublock Shadowbane	174	sorcerer	5	11
65126	Thadnemara Shadowbane	175	knight	8	13
65127	Pegui Shadowbane	176	sorcerer	5	9
65128	Nevintsild Shadowbane	177	knight	8	14
65129	Tonguarik Shadowbane	178	druid	6	16
65130	Sveromesse Shadowbane	179	paladin	7	11
65131	Ghta Shadowbane	180	paladin	7	15
65132	Seromady Shadowbane	181	paladin	7	17
65133	Chran Shadowbane	182	sorcerer	5	14
65134	Gnomedorbo Shadowbane	183	druid	6	14
65135	Wilisolani Shadowbane	184	knight	8	20
65136	Foozorf Shadowbane	185	knight	8	7
65137	Drodromes Shadowbane	186	sorcerer	5	10
65138	Elance Shadowbane	187	paladin	7	9
65139	Cern Shadowbane	188	druid	6	14
65140	Jorth Shadowbane	189	sorcerer	5	22
65141	Carinus Shadowbane	190	paladin	7	11
65142	Gell Shadowbane	191	druid	6	11
65143	Mema Shadowbane	192	paladin	7	9
65144	Valkephenc Shadowbane	193	druid	6	13
65145	Gnom Shadowbane	194	paladin	7	13
65146	Bervion Shadowbane	195	druid	6	11
65147	Nizzley Shadowbane	196	sorcerer	5	16
65148	Jaeggy Shadowbane	197	paladin	7	14
65149	Lukeniess Shadowbane	198	knight	8	7
65150	Borks Shadowbane	199	knight	8	11
65151	Aldric Ironforge	200	knight	8	20
65152	Lyra Ironforge	201	paladin	7	7
65153	Theron Ironforge	202	knight	8	15
65154	Isolde Ironforge	203	knight	8	16
65155	Magnus Ironforge	204	druid	6	20
65156	Freya Ironforge	205	knight	8	16
65157	Ragnar Ironforge	206	druid	6	11
65158	Astrid Ironforge	207	sorcerer	5	13
65159	Cedric Ironforge	208	paladin	7	20
65160	Elara Ironforge	209	druid	6	10
65161	Finn Ironforge	210	sorcerer	5	17
65162	Gwen Ironforge	211	paladin	7	14
65163	Henrik Ironforge	212	sorcerer	5	20
65164	Isla Ironforge	213	knight	8	11
65165	Jorik Ironforge	214	sorcerer	5	13
65166	Keira Ironforge	215	druid	6	15
65167	Leander Ironforge	216	paladin	7	17
65168	Mira Ironforge	217	sorcerer	5	5
65169	Nikolai Ironforge	218	druid	6	5
65170	Ophelia Ironforge	219	sorcerer	5	17
65171	Omiros Ironforge	220	paladin	7	10
65172	Borkent Ironforge	221	paladin	7	16
65173	Azir Ironforge	222	sorcerer	5	9
65174	Plaros Ironforge	223	knight	8	15
65175	Paublock Ironforge	224	knight	8	14
65176	Thadnemara Ironforge	225	druid	6	13
65177	Pegui Ironforge	226	druid	6	22
65178	Nevintsild Ironforge	227	paladin	7	11
65179	Tonguarik Ironforge	228	paladin	7	6
65180	Sveromesse Ironforge	229	paladin	7	10
65181	Ghta Ironforge	230	druid	6	16
65182	Seromady Ironforge	231	sorcerer	5	20
65183	Chran Ironforge	232	knight	8	9
65184	Gnomedorbo Ironforge	233	druid	6	5
65185	Wilisolani Ironforge	234	knight	8	10
65186	Foozorf Ironforge	235	knight	8	22
65187	Drodromes Ironforge	236	sorcerer	5	9
65188	Elance Ironforge	237	sorcerer	5	17
65189	Cern Ironforge	238	knight	8	15
65190	Jorth Ironforge	239	druid	6	22
65191	Carinus Ironforge	240	knight	8	20
65192	Gell Ironforge	241	sorcerer	5	11
65193	Mema Ironforge	242	druid	6	9
65194	Valkephenc Ironforge	243	sorcerer	5	14
65195	Gnom Ironforge	244	paladin	7	13
65196	Bervion Ironforge	245	sorcerer	5	14
65197	Nizzley Ironforge	246	knight	8	9
65198	Jaeggy Ironforge	247	druid	6	10
65199	Lukeniess Ironforge	248	knight	8	9
65200	Borks Ironforge	250	sorcerer	5	5
65208	Aldric Stormwind	250	sorcerer	5	20
65209	Lyra Stormwind	251	sorcerer	5	16
65210	Theron Stormwind	252	knight	8	5
65211	Isolde Stormwind	253	sorcerer	5	9
65212	Magnus Stormwind	254	knight	8	7
65213	Freya Stormwind	255	druid	6	20
65214	Ragnar Stormwind	256	knight	8	8
65215	Astrid Stormwind	257	paladin	7	6
65216	Cedric Stormwind	258	druid	6	10
65217	Elara Stormwind	259	paladin	7	7
65218	Finn Stormwind	260	knight	8	14
65219	Gwen Stormwind	261	druid	6	6
65220	Henrik Stormwind	262	sorcerer	5	9
65221	Isla Stormwind	263	paladin	7	5
65222	Jorik Stormwind	264	sorcerer	5	9
65223	Keira Stormwind	265	sorcerer	5	20
65224	Leander Stormwind	266	paladin	7	17
65225	Mira Stormwind	267	knight	8	9
65226	Nikolai Stormwind	268	druid	6	22
65227	Ophelia Stormwind	269	paladin	7	22
65228	Omiros Stormwind	270	druid	6	5
65229	Borkent Stormwind	271	paladin	7	9
65230	Azir Stormwind	272	sorcerer	5	5
65231	Plaros Stormwind	273	druid	6	11
65232	Paublock Stormwind	274	paladin	7	15
65233	Thadnemara Stormwind	275	sorcerer	5	22
65234	Pegui Stormwind	276	druid	6	17
65235	Nevintsild Stormwind	277	knight	8	20
65236	Tonguarik Stormwind	278	knight	8	10
65237	Sveromesse Stormwind	279	knight	8	10
65238	Ghta Stormwind	280	druid	6	17
65239	Seromady Stormwind	281	sorcerer	5	8
65240	Chran Stormwind	282	druid	6	6
65241	Gnomedorbo Stormwind	283	paladin	7	22
65242	Wilisolani Stormwind	284	paladin	7	8
65243	Foozorf Stormwind	285	sorcerer	5	9
65244	Drodromes Stormwind	286	knight	8	20
65245	Elance Stormwind	287	knight	8	9
65246	Cern Stormwind	288	sorcerer	5	7
65247	Jorth Stormwind	289	knight	8	10
65248	Carinus Stormwind	290	knight	8	17
65249	Gell Stormwind	291	sorcerer	5	11
65250	Mema Stormwind	292	paladin	7	16
65251	Valkephenc Stormwind	293	paladin	7	17
65252	Gnom Stormwind	294	sorcerer	5	14
65253	Bervion Stormwind	295	knight	8	8
65254	Nizzley Stormwind	296	sorcerer	5	9
65255	Jaeggy Stormwind	297	knight	8	15
65256	Lukeniess Stormwind	298	paladin	7	5
65257	Borks Stormwind	299	druid	6	11
65258	Aldric Dawnbringer	300	knight	8	6
65259	Lyra Dawnbringer	301	paladin	7	15
65260	Theron Dawnbringer	302	druid	6	10
65261	Isolde Dawnbringer	303	druid	6	6
65262	Magnus Dawnbringer	304	knight	8	7
65263	Freya Dawnbringer	305	paladin	7	13
65264	Ragnar Dawnbringer	306	paladin	7	11
65265	Astrid Dawnbringer	307	druid	6	7
65266	Cedric Dawnbringer	308	sorcerer	5	14
65267	Elara Dawnbringer	309	paladin	7	20
65268	Finn Dawnbringer	310	sorcerer	5	10
65269	Gwen Dawnbringer	311	knight	8	22
65270	Henrik Dawnbringer	312	knight	8	10
65271	Isla Dawnbringer	313	druid	6	16
65272	Jorik Dawnbringer	314	knight	8	11
65273	Keira Dawnbringer	315	paladin	7	22
65274	Leander Dawnbringer	316	druid	6	11
65275	Mira Dawnbringer	317	knight	8	22
65276	Nikolai Dawnbringer	318	knight	8	13
65277	Ophelia Dawnbringer	319	druid	6	6
65278	Omiros Dawnbringer	320	knight	8	9
65279	Borkent Dawnbringer	321	sorcerer	5	8
65280	Azir Dawnbringer	322	knight	8	20
65281	Plaros Dawnbringer	323	paladin	7	7
65282	Paublock Dawnbringer	324	druid	6	11
65283	Thadnemara Dawnbringer	325	knight	8	15
65284	Pegui Dawnbringer	326	paladin	7	11
65285	Nevintsild Dawnbringer	327	paladin	7	7
65286	Tonguarik Dawnbringer	328	paladin	7	14
65287	Sveromesse Dawnbringer	329	sorcerer	5	16
65288	Ghta Dawnbringer	330	druid	6	8
65289	Seromady Dawnbringer	331	druid	6	17
65290	Chran Dawnbringer	332	paladin	7	16
65291	Gnomedorbo Dawnbringer	333	druid	6	8
65292	Wilisolani Dawnbringer	334	paladin	7	11
65293	Foozorf Dawnbringer	335	druid	6	10
65294	Drodromes Dawnbringer	336	knight	8	10
65295	Elance Dawnbringer	337	knight	8	7
65296	Cern Dawnbringer	338	sorcerer	5	15
65297	Jorth Dawnbringer	339	knight	8	11
65298	Carinus Dawnbringer	340	sorcerer	5	7
65299	Gell Dawnbringer	341	sorcerer	5	7
65300	Mema Dawnbringer	342	knight	8	8
65301	Valkephenc Dawnbringer	343	knight	8	16
65302	Gnom Dawnbringer	344	druid	6	20
65303	Bervion Dawnbringer	345	paladin	7	6
65304	Nizzley Dawnbringer	346	druid	6	8
65305	Jaeggy Dawnbringer	347	knight	8	10
65306	Lukeniess Dawnbringer	348	sorcerer	5	7
65307	Borks Dawnbringer	349	paladin	7	9
65308	Aldric Nightwhisper	350	paladin	7	8
65309	Lyra Nightwhisper	351	druid	6	13
65310	Theron Nightwhisper	352	druid	6	7
65311	Isolde Nightwhisper	353	druid	6	13
65312	Magnus Nightwhisper	354	druid	6	6
65313	Freya Nightwhisper	355	sorcerer	5	17
65314	Ragnar Nightwhisper	356	knight	8	8
65315	Astrid Nightwhisper	357	paladin	7	16
65316	Cedric Nightwhisper	358	knight	8	6
65317	Elara Nightwhisper	359	paladin	7	10
65318	Finn Nightwhisper	360	druid	6	11
65319	Gwen Nightwhisper	361	paladin	7	13
65320	Henrik Nightwhisper	362	druid	6	11
65321	Isla Nightwhisper	363	paladin	7	5
65322	Jorik Nightwhisper	364	paladin	7	16
65323	Keira Nightwhisper	365	paladin	7	16
65324	Leander Nightwhisper	366	sorcerer	5	7
65325	Mira Nightwhisper	367	sorcerer	5	8
65326	Nikolai Nightwhisper	368	knight	8	6
65327	Ophelia Nightwhisper	369	druid	6	17
65328	Omiros Nightwhisper	370	druid	6	7
65329	Borkent Nightwhisper	371	knight	8	14
65330	Azir Nightwhisper	372	paladin	7	17
65331	Plaros Nightwhisper	373	druid	6	20
65332	Paublock Nightwhisper	374	paladin	7	14
65333	Thadnemara Nightwhisper	375	druid	6	20
65334	Pegui Nightwhisper	376	knight	8	7
65335	Nevintsild Nightwhisper	377	paladin	7	8
65336	Tonguarik Nightwhisper	378	paladin	7	16
65337	Sveromesse Nightwhisper	379	paladin	7	13
65338	Ghta Nightwhisper	380	paladin	7	17
65339	Seromady Nightwhisper	381	druid	6	22
65340	Chran Nightwhisper	382	druid	6	11
65341	Gnomedorbo Nightwhisper	383	paladin	7	8
65342	Wilisolani Nightwhisper	384	knight	8	17
65343	Foozorf Nightwhisper	385	paladin	7	20
65344	Drodromes Nightwhisper	386	paladin	7	7
65345	Elance Nightwhisper	387	paladin	7	11
65346	Cern Nightwhisper	388	druid	6	17
65347	Jorth Nightwhisper	389	druid	6	5
65348	Carinus Nightwhisper	390	knight	8	6
65349	Gell Nightwhisper	391	sorcerer	5	14
65350	Mema Nightwhisper	392	knight	8	7
65351	Valkephenc Nightwhisper	393	paladin	7	8
65352	Gnom Nightwhisper	394	sorcerer	5	20
65353	Bervion Nightwhisper	395	knight	8	9
65354	Nizzley Nightwhisper	396	knight	8	16
65355	Jaeggy Nightwhisper	397	paladin	7	20
65356	Lukeniess Nightwhisper	398	knight	8	6
65357	Borks Nightwhisper	399	sorcerer	5	9
65358	Aldric Flamecrest	400	paladin	7	17
65359	Lyra Flamecrest	401	sorcerer	5	15
65360	Theron Flamecrest	402	paladin	7	11
65361	Isolde Flamecrest	403	knight	8	15
65362	Magnus Flamecrest	404	paladin	7	13
65363	Freya Flamecrest	405	paladin	7	16
65364	Ragnar Flamecrest	406	knight	8	5
65365	Astrid Flamecrest	407	sorcerer	5	9
65366	Cedric Flamecrest	408	druid	6	7
65367	Elara Flamecrest	409	paladin	7	11
65368	Finn Flamecrest	410	knight	8	11
65369	Gwen Flamecrest	411	sorcerer	5	15
65370	Henrik Flamecrest	412	paladin	7	7
65371	Isla Flamecrest	413	druid	6	16
65372	Jorik Flamecrest	414	sorcerer	5	7
65373	Keira Flamecrest	415	paladin	7	14
65374	Leander Flamecrest	416	knight	8	9
65375	Mira Flamecrest	417	druid	6	8
65376	Nikolai Flamecrest	418	sorcerer	5	10
65377	Ophelia Flamecrest	419	druid	6	5
65378	Omiros Flamecrest	420	druid	6	7
65379	Borkent Flamecrest	421	paladin	7	9
65380	Azir Flamecrest	422	sorcerer	5	10
65381	Plaros Flamecrest	423	sorcerer	5	7
65382	Paublock Flamecrest	424	paladin	7	17
65383	Thadnemara Flamecrest	425	paladin	7	17
65384	Pegui Flamecrest	426	sorcerer	5	16
65385	Nevintsild Flamecrest	427	paladin	7	10
65386	Tonguarik Flamecrest	428	knight	8	22
65387	Sveromesse Flamecrest	429	druid	6	15
65388	Ghta Flamecrest	430	paladin	7	16
65389	Seromady Flamecrest	431	sorcerer	5	8
65390	Chran Flamecrest	432	knight	8	17
65391	Gnomedorbo Flamecrest	433	druid	6	9
65392	Wilisolani Flamecrest	434	druid	6	10
65393	Foozorf Flamecrest	435	knight	8	15
65394	Drodromes Flamecrest	436	sorcerer	5	6
65395	Elance Flamecrest	437	sorcerer	5	6
65396	Cern Flamecrest	438	druid	6	6
65397	Jorth Flamecrest	439	sorcerer	5	6
65398	Carinus Flamecrest	440	sorcerer	5	8
65399	Gell Flamecrest	441	sorcerer	5	11
65400	Mema Flamecrest	442	knight	8	9
65401	Valkephenc Flamecrest	443	paladin	7	20
65402	Gnom Flamecrest	444	knight	8	17
65403	Bervion Flamecrest	445	knight	8	10
65404	Nizzley Flamecrest	446	paladin	7	13
65405	Jaeggy Flamecrest	447	knight	8	5
65406	Lukeniess Flamecrest	448	knight	8	6
65407	Borks Flamecrest	449	druid	6	16
65408	Aldric Frostborn	450	knight	8	22
65409	Lyra Frostborn	451	druid	6	14
65410	Theron Frostborn	452	druid	6	22
65411	Isolde Frostborn	453	sorcerer	5	7
65412	Magnus Frostborn	454	paladin	7	17
65413	Freya Frostborn	455	paladin	7	16
65414	Ragnar Frostborn	456	paladin	7	10
65415	Astrid Frostborn	457	druid	6	8
65416	Cedric Frostborn	458	druid	6	17
65417	Elara Frostborn	459	druid	6	6
65418	Finn Frostborn	460	sorcerer	5	16
65419	Gwen Frostborn	461	paladin	7	11
65420	Henrik Frostborn	462	knight	8	5
65421	Isla Frostborn	463	paladin	7	5
65422	Jorik Frostborn	464	knight	8	22
65423	Keira Frostborn	465	sorcerer	5	20
65424	Leander Frostborn	466	sorcerer	5	14
65425	Mira Frostborn	467	sorcerer	5	16
65426	Nikolai Frostborn	468	paladin	7	9
65427	Ophelia Frostborn	469	sorcerer	5	5
65428	Omiros Frostborn	470	knight	8	9
65429	Borkent Frostborn	471	paladin	7	20
65430	Azir Frostborn	472	knight	8	14
65431	Plaros Frostborn	473	druid	6	14
65432	Paublock Frostborn	474	knight	8	17
65433	Thadnemara Frostborn	475	druid	6	22
65434	Pegui Frostborn	476	druid	6	17
65435	Nevintsild Frostborn	477	knight	8	8
65436	Tonguarik Frostborn	478	sorcerer	5	20
65437	Sveromesse Frostborn	479	sorcerer	5	8
65438	Ghta Frostborn	480	knight	8	14
65439	Seromady Frostborn	481	druid	6	22
65440	Chran Frostborn	482	druid	6	10
65441	Gnomedorbo Frostborn	483	sorcerer	5	8
65442	Wilisolani Frostborn	484	sorcerer	5	13
65443	Foozorf Frostborn	485	sorcerer	5	10
65444	Drodromes Frostborn	486	paladin	7	17
65445	Elance Frostborn	487	sorcerer	5	20
65446	Cern Frostborn	488	knight	8	5
65447	Jorth Frostborn	489	sorcerer	5	8
65448	Carinus Frostborn	490	paladin	7	11
65449	Gell Frostborn	491	knight	8	10
65450	Mema Frostborn	492	druid	6	13
65451	Valkephenc Frostborn	493	sorcerer	5	9
65452	Gnom Frostborn	494	sorcerer	5	10
65453	Bervion Frostborn	495	druid	6	22
65454	Nizzley Frostborn	496	sorcerer	5	15
65455	Jaeggy Frostborn	497	knight	8	9
65456	Lukeniess Frostborn	498	druid	6	20
65457	Borks Frostborn	500	sorcerer	5	5
65458	Aldric Stoneguard	500	sorcerer	5	20
65459	Lyra Stoneguard	501	knight	8	13
65460	Theron Stoneguard	502	paladin	7	17
65461	Isolde Stoneguard	503	knight	8	5
65462	Magnus Stoneguard	504	knight	8	8
65463	Freya Stoneguard	505	sorcerer	5	8
65464	Ragnar Stoneguard	506	knight	8	20
65465	Astrid Stoneguard	507	knight	8	17
65466	Cedric Stoneguard	508	sorcerer	5	17
65467	Elara Stoneguard	509	paladin	7	20
65468	Finn Stoneguard	510	druid	6	17
65469	Gwen Stoneguard	511	sorcerer	5	13
65470	Henrik Stoneguard	512	paladin	7	7
65471	Isla Stoneguard	513	paladin	7	9
65472	Jorik Stoneguard	514	paladin	7	20
65473	Keira Stoneguard	515	knight	8	9
65474	Leander Stoneguard	516	knight	8	8
65475	Mira Stoneguard	517	paladin	7	10
65476	Nikolai Stoneguard	518	knight	8	15
65477	Ophelia Stoneguard	519	knight	8	16
65478	Omiros Stoneguard	520	druid	6	15
65479	Borkent Stoneguard	521	druid	6	6
65480	Azir Stoneguard	522	paladin	7	17
65481	Plaros Stoneguard	523	sorcerer	5	16
65482	Paublock Stoneguard	524	druid	6	15
65483	Thadnemara Stoneguard	525	druid	6	13
65484	Pegui Stoneguard	526	paladin	7	16
65485	Nevintsild Stoneguard	527	sorcerer	5	8
65486	Tonguarik Stoneguard	528	knight	8	20
65487	Sveromesse Stoneguard	529	knight	8	9
65488	Ghta Stoneguard	530	druid	6	16
65489	Seromady Stoneguard	531	paladin	7	17
65490	Chran Stoneguard	532	druid	6	9
65491	Gnomedorbo Stoneguard	533	druid	6	11
65492	Wilisolani Stoneguard	534	sorcerer	5	6
65493	Foozorf Stoneguard	535	sorcerer	5	13
65494	Drodromes Stoneguard	536	sorcerer	5	10
65495	Elance Stoneguard	537	sorcerer	5	10
65496	Cern Stoneguard	538	knight	8	8
65497	Jorth Stoneguard	539	knight	8	22
65498	Carinus Stoneguard	540	knight	8	20
65499	Gell Stoneguard	541	druid	6	10
65500	Mema Stoneguard	542	druid	6	11
65501	Valkephenc Stoneguard	543	knight	8	17
65502	Gnom Stoneguard	544	druid	6	15
65503	Bervion Stoneguard	545	paladin	7	15
65504	Nizzley Stoneguard	546	paladin	7	10
65505	Jaeggy Stoneguard	547	druid	6	7
65506	Lukeniess Stoneguard	548	druid	6	15
65507	Borks Stoneguard	549	knight	8	15
65508	Aldric Torin	550	sorcerer	5	6
65509	Lyra Torin	551	knight	8	17
65510	Theron Torin	552	knight	8	10
65511	Isolde Torin	553	sorcerer	5	7
65512	Magnus Torin	554	paladin	7	7
65513	Freya Torin	555	sorcerer	5	5
65514	Ragnar Torin	556	knight	8	5
65515	Astrid Torin	557	druid	6	5
65516	Cedric Torin	558	druid	6	14
65517	Elara Torin	559	knight	8	10
65518	Finn Torin	560	knight	8	16
65519	Gwen Torin	561	paladin	7	8
65520	Henrik Torin	562	sorcerer	5	16
65521	Isla Torin	563	knight	8	11
65522	Jorik Torin	564	knight	8	7
65523	Keira Torin	565	druid	6	13
65524	Leander Torin	566	knight	8	10
65525	Mira Torin	567	sorcerer	5	14
65526	Nikolai Torin	568	sorcerer	5	22
65527	Ophelia Torin	569	sorcerer	5	15
65528	Omiros Torin	570	druid	6	13
65529	Borkent Torin	571	knight	8	6
65530	Azir Torin	572	druid	6	14
65531	Plaros Torin	573	druid	6	16
65532	Paublock Torin	574	sorcerer	5	16
65533	Thadnemara Torin	575	paladin	7	10
65534	Pegui Torin	576	sorcerer	5	5
65535	Nevintsild Torin	577	druid	6	22
65536	Tonguarik Torin	578	paladin	7	6
65537	Sveromesse Torin	579	paladin	7	5
65538	Ghta Torin	580	sorcerer	5	8
65539	Seromady Torin	581	sorcerer	5	16
65540	Chran Torin	582	druid	6	15
65541	Gnomedorbo Torin	583	paladin	7	8
65542	Wilisolani Torin	584	paladin	7	13
65543	Foozorf Torin	585	sorcerer	5	8
65544	Drodromes Torin	586	sorcerer	5	13
65545	Elance Torin	587	druid	6	20
65546	Cern Torin	588	paladin	7	20
65547	Jorth Torin	589	paladin	7	6
65548	Carinus Torin	590	sorcerer	5	14
65549	Gell Torin	591	knight	8	7
65550	Mema Torin	592	knight	8	6
65551	Valkephenc Torin	593	druid	6	5
65552	Gnom Torin	594	knight	8	16
65553	Bervion Torin	595	sorcerer	5	7
65554	Nizzley Torin	596	sorcerer	5	10
65555	Jaeggy Torin	597	druid	6	13
65556	Lukeniess Torin	598	knight	8	17
65557	Borks Torin	599	knight	8	14
65558	Aldric Abunce	600	sorcerer	5	20
65559	Lyra Abunce	601	paladin	7	7
65560	Theron Abunce	602	sorcerer	5	16
65561	Isolde Abunce	603	druid	6	11
65562	Magnus Abunce	604	druid	6	9
65563	Freya Abunce	605	paladin	7	7
65564	Ragnar Abunce	606	sorcerer	5	14
65565	Astrid Abunce	607	druid	6	20
65566	Cedric Abunce	608	paladin	7	11
65567	Elara Abunce	609	druid	6	8
65568	Finn Abunce	610	druid	6	8
65569	Gwen Abunce	611	druid	6	17
65570	Henrik Abunce	612	knight	8	15
65571	Isla Abunce	613	paladin	7	11
65572	Jorik Abunce	614	druid	6	11
65573	Keira Abunce	615	druid	6	8
65574	Leander Abunce	616	druid	6	7
65575	Mira Abunce	617	sorcerer	5	16
65576	Nikolai Abunce	618	sorcerer	5	7
65577	Ophelia Abunce	619	paladin	7	13
65578	Omiros Abunce	620	paladin	7	11
65579	Borkent Abunce	621	paladin	7	6
65580	Azir Abunce	622	knight	8	7
65581	Plaros Abunce	623	sorcerer	5	15
65582	Paublock Abunce	624	druid	6	14
65583	Thadnemara Abunce	625	druid	6	6
65584	Pegui Abunce	626	knight	8	9
65585	Nevintsild Abunce	627	paladin	7	5
65586	Tonguarik Abunce	628	knight	8	7
65587	Sveromesse Abunce	629	druid	6	11
65588	Ghta Abunce	630	sorcerer	5	7
65589	Seromady Abunce	631	sorcerer	5	20
65590	Chran Abunce	632	sorcerer	5	5
65591	Gnomedorbo Abunce	633	sorcerer	5	6
65592	Wilisolani Abunce	634	druid	6	16
65593	Foozorf Abunce	635	sorcerer	5	9
65594	Drodromes Abunce	636	druid	6	20
65595	Elance Abunce	637	druid	6	5
65596	Cern Abunce	638	paladin	7	20
65597	Jorth Abunce	639	druid	6	13
