source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- krailos|temple~depot: (1 waypoints) ---
krailos|boat~depot:,stand,33546,31696,7,
krailos|boat~depot:,stand,33552,31696,7,
krailos|boat~depot:,stand,33558,31696,7,
krailos|boat~depot:,stand,33564,31696,7,
krailos|boat~depot:,stand,33570,31696,7,
krailos|boat~depot:,stand,33576,31696,7,
krailos|boat~depot:,stand,33582,31696,7,
krailos|boat~depot:,stand,33588,31696,7,
krailos|boat~depot:,stand,33594,31696,7,
krailos|boat~depot:,stand,33600,31696,7,
krailos|boat~depot:,stand,33606,31696,7,
krailos|boat~depot:,stand,33612,31695,7,
krailos|boat~depot:,stand,33618,31694,7,
krailos|boat~depot:,stand,33619,31688,7,
krailos|boat~depot:,stand,33625,31685,7,
krailos|boat~depot:,stand,33630,31679,7,
krailos|boat~depot:,stand,33636,31674,7,
krailos|boat~depot:,stand,33640,31668,7,
krailos|boat~depot:,stand,33646,31665,7,
krailos|boat~depot:,stand,33652,31662,7,
krailos|boat~depot:,stand,33653,31656,7,
krailos|boat~depot:,stand,33657,31657,7,
krailos|boat~depot:,stand,33657,31663,8,
krailos|boat~depot:,stand,33657,31665,8,
krailos|boat~depot:,stand,33657,31665,8,

# --- krailos|depot~boat: (34 waypoints) ---
krailos|depot~boat:,stand,33657,31665,8,
krailos|depot~boat:,stand,33657,31665,8,
krailos|depot~boat:,stand,33657,31657,8,
krailos|depot~boat:,stand,33651,31662,7,
krailos|depot~boat:,stand,33645,31665,7,
krailos|depot~boat:,stand,33639,31665,7,
krailos|depot~boat:,stand,33633,31665,7,
krailos|depot~boat:,stand,33627,31665,7,
krailos|depot~boat:,stand,33621,31665,7,
krailos|depot~boat:,stand,33615,31667,7,
krailos|depot~boat:,stand,33609,31667,7,
krailos|depot~boat:,stand,33603,31667,7,
krailos|depot~boat:,stand,33597,31667,7,
krailos|depot~boat:,stand,33591,31667,7,
krailos|depot~boat:,stand,33585,31667,7,
krailos|depot~boat:,stand,33579,31667,7,
krailos|depot~boat:,stand,33573,31669,7,
krailos|depot~boat:,stand,33567,31669,7,
krailos|depot~boat:,stand,33561,31669,7,
krailos|depot~boat:,stand,33555,31670,7,
krailos|depot~boat:,stand,33549,31675,7,
krailos|depot~boat:,stand,33543,31679,7,
krailos|depot~boat:,stand,33540,31685,7,
krailos|depot~boat:,stand,33536,31691,7,
krailos|depot~boat:,stand,33530,31693,7,
krailos|depot~boat:,stand,33525,31699,7,
krailos|depot~boat:,stand,33519,31699,7,
krailos|depot~boat:,stand,33513,31701,7,
krailos|depot~boat:,stand,33507,31705,7,
krailos|depot~boat:,stand,33501,31708,7,
krailos|depot~boat:,use_with,33498,31710,7,0
krailos|depot~boat:,stand,33498,31710,7,
krailos|depot~boat:,stand,33492,31711,6,
krailos|depot~boat:,stand,33492,31712,6,
