source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- thais|boat~boat: (2 waypoints) ---
thais|south.gate~boat:,node,32338,32252,7,
thais|south.gate~boat:,node,32338,32242,7,
thais|south.gate~boat:,node,32338,32232,7,
thais|south.gate~boat:,node,32338,32222,7,
thais|south.gate~boat:,node,32330,32216,7,
thais|south.gate~boat:,node,32321,32211,7,
thais|south.gate~boat:,ladder,32321,32211,7,
thais|south.gate~boat:,node,32316,32212,6,
thais|south.gate~boat:,node,32310,32211,6,
thais|south.gate~boat:,stand,32310,32211,6,

# --- thais|east.gate~boat: (20 waypoints) ---
thais|east.gate~boat:,node,32426,32225,7,
thais|east.gate~boat:,node,32421,32222,7,
thais|east.gate~boat:,node,32420,32215,7,
thais|east.gate~boat:,node,32412,32214,7,
thais|east.gate~boat:,node,32404,32214,7,
thais|east.gate~boat:,node,32396,32214,7,
thais|east.gate~boat:,node,32388,32214,7,
thais|east.gate~boat:,node,32380,32214,7,
thais|east.gate~boat:,node,32372,32214,7,
thais|east.gate~boat:,node,32364,32214,7,
thais|east.gate~boat:,node,32356,32214,7,
thais|east.gate~boat:,node,32348,32214,7,
thais|east.gate~boat:,node,32340,32214,7,
thais|east.gate~boat:,node,32332,32214,7,
thais|east.gate~boat:,node,32324,32214,7,
thais|east.gate~boat:,node,32321,32211,7,
thais|east.gate~boat:,ladder,32321,32211,7,
thais|east.gate~boat:,node,32316,32212,6,
thais|east.gate~boat:,node,32310,32211,6,
thais|east.gate~boat:,stand,32310,32211,6,

# --- thais|west.gate~boat: (14 waypoints) ---
thais|west.gate~boat:,node,32287,32265,7,
thais|west.gate~boat:,node,32287,32257,7,
thais|west.gate~boat:,node,32295,32257,7,
thais|west.gate~boat:,node,32302,32257,7,
thais|west.gate~boat:,node,32310,32249,7,
thais|west.gate~boat:,node,32310,32237,7,
thais|west.gate~boat:,node,32306,32232,7,
thais|west.gate~boat:,node,32310,32228,7,
thais|west.gate~boat:,node,32318,32227,7,
thais|west.gate~boat:,node,32321,32220,7,
thais|west.gate~boat:,ladder,32321,32220,7,
thais|west.gate~boat:,node,32319,32215,6,
thais|west.gate~boat:,node,32310,32211,6,
thais|west.gate~boat:,stand,32310,32211,6,

# --- thais|temple~boat: (16 waypoints) ---
thais|temple~boat:,node,32369,32237,7,
thais|temple~boat:,node,32369,32230,7,
thais|temple~boat:,node,32369,32223,7,
thais|temple~boat:,node,32369,32216,7,
thais|temple~boat:,node,32363,32215,7,
thais|temple~boat:,node,32357,32215,7,
thais|temple~boat:,node,32351,32215,7,
thais|temple~boat:,node,32345,32215,7,
thais|temple~boat:,node,32339,32215,7,
thais|temple~boat:,node,32333,32215,7,
thais|temple~boat:,node,32327,32215,7,
thais|temple~boat:,node,32321,32211,7,
thais|temple~boat:,ladder,32321,32211,7,
thais|temple~boat:,node,32315,32212,6,
thais|temple~boat:,node,32310,32211,6,
thais|temple~boat:,stand,32310,32211,6,

# --- thais|bank~boat: (9 waypoints) ---
thais|bank~boat:,node,32345,32224,7,
thais|bank~boat:,node,32338,32222,7,
thais|bank~boat:,node,32334,32217,7,
thais|bank~boat:,node,32327,32216,7,
thais|bank~boat:,node,32321,32211,7,
thais|bank~boat:,ladder,32321,32211,7,
thais|bank~boat:,node,32316,32212,6,
thais|bank~boat:,node,32310,32211,6,
thais|bank~boat:,stand,32310,32211,6,

# --- thais|depot~boat: (13 waypoints) ---
thais|depot~boat:,node,32346,32231,8,
thais|depot~boat:,stand,32347,32231,8,
thais|depot~boat:,stand,32348,32225,5,
thais|depot~boat:,stand,32350,32226,6,
thais|depot~boat:,node,32345,32224,7,
thais|depot~boat:,node,32338,32222,7,
thais|depot~boat:,node,32334,32217,7,
thais|depot~boat:,node,32327,32216,7,
thais|depot~boat:,node,32321,32211,7,
thais|depot~boat:,ladder,32321,32211,7,
thais|depot~boat:,node,32316,32212,6,
thais|depot~boat:,node,32310,32211,6,
thais|depot~boat:,stand,32310,32211,6,

# --- thais|loot~boat: (14 waypoints) ---
thais|loot~boat:,node,32368,32198,7,
thais|loot~boat:,node,32368,32204,7,
thais|loot~boat:,node,32368,32210,7,
thais|loot~boat:,node,32368,32215,7,
thais|loot~boat:,node,32360,32215,7,
thais|loot~boat:,node,32352,32215,7,
thais|loot~boat:,node,32344,32215,7,
thais|loot~boat:,node,32336,32215,7,
thais|loot~boat:,node,32328,32215,7,
thais|loot~boat:,node,32321,32211,7,
thais|loot~boat:,ladder,32321,32211,7,
thais|loot~boat:,node,32316,32212,6,
thais|loot~boat:,node,32310,32211,6,
thais|loot~boat:,stand,32310,32211,6,

# --- thais|depot~bank: (6 waypoints) ---
thais|depot~bank:,node,32346,32231,8,
thais|depot~bank:,stand,32347,32231,8,
thais|depot~bank:,stand,32348,32225,5,
thais|depot~bank:,stand,32350,32226,6,
thais|depot~bank:,node,32344,32228,7,
thais|depot~bank:,stand,32344,32228,7,

# --- thais|north.gate~bank: (10 waypoints) ---
thais|north.gate~bank:,node,32368,32187,7,
thais|north.gate~bank:,node,32368,32196,7,
thais|north.gate~bank:,node,32368,32204,7,
thais|north.gate~bank:,node,32368,32212,7,
thais|north.gate~bank:,node,32365,32215,7,
thais|north.gate~bank:,node,32356,32215,7,
thais|north.gate~bank:,node,32347,32215,7,
thais|north.gate~bank:,node,32346,32221,7,
thais|north.gate~bank:,node,32344,32228,7,
thais|north.gate~bank:,stand,32344,32229,7,

# --- thais|east.gate~bank: (12 waypoints) ---
thais|east.gate~bank:,node,32423,32225,7,
thais|east.gate~bank:,node,32419,32215,7,
thais|east.gate~bank:,node,32409,32214,7,
thais|east.gate~bank:,node,32399,32214,7,
thais|east.gate~bank:,node,32388,32214,7,
thais|east.gate~bank:,node,32378,32214,7,
thais|east.gate~bank:,node,32368,32214,7,
thais|east.gate~bank:,node,32358,32214,7,
thais|east.gate~bank:,node,32348,32214,7,
thais|east.gate~bank:,node,32345,32220,7,
thais|east.gate~bank:,node,32344,32227,7,
thais|east.gate~bank:,stand,32344,32228,7,

# --- thais|south.gate~bank: (8 waypoints) ---
thais|south.gate~bank:,node,32342,32273,7,
thais|south.gate~bank:,node,32338,32272,7,
thais|south.gate~bank:,node,32338,32262,7,
thais|south.gate~bank:,node,32338,32252,7,
thais|south.gate~bank:,node,32338,32242,7,
thais|south.gate~bank:,node,32338,32232,7,
thais|south.gate~bank:,node,32343,32226,7,
thais|south.gate~bank:,stand,32344,32229,7,

# --- thais|west.gate~bank: (9 waypoints) ---
thais|west.gate~bank:,node,32288,32257,7,
thais|west.gate~bank:,node,32300,32257,7,
thais|west.gate~bank:,node,32307,32252,7,
thais|west.gate~bank:,node,32313,32248,7,
thais|west.gate~bank:,node,32326,32248,7,
thais|west.gate~bank:,node,32337,32248,7,
thais|west.gate~bank:,node,32337,32234,7,
thais|west.gate~bank:,node,32340,32225,7,
thais|west.gate~bank:,stand,32344,32229,7,

# --- thais|temple~bank: (8 waypoints) ---
thais|temple~bank:,node,32369,32232,7,
thais|temple~bank:,node,32369,32223,7,
thais|temple~bank:,node,32369,32215,7,
thais|temple~bank:,node,32360,32215,7,
thais|temple~bank:,node,32351,32215,7,
thais|temple~bank:,node,32346,32220,7,
thais|temple~bank:,node,32344,32227,7,
thais|temple~bank:,stand,32344,32228,7,

# --- thais|loot~bank: (8 waypoints) ---
thais|loot~bank:,node,32368,32198,7,
thais|loot~bank:,node,32368,32206,7,
thais|loot~bank:,node,32368,32214,7,
thais|loot~bank:,node,32358,32214,7,
thais|loot~bank:,node,32348,32214,7,
thais|loot~bank:,node,32345,32221,7,
thais|loot~bank:,node,32344,32227,7,
thais|loot~bank:,stand,32344,32228,7,

# --- thais|boat~bank: (7 waypoints) ---
thais|boat~bank:,node,32314,32211,6,
thais|boat~bank:,node,32320,32211,6,
thais|boat~bank:,stand,32321,32211,6,
thais|boat~bank:,node,32327,32215,7,
thais|boat~bank:,node,32336,32220,7,
thais|boat~bank:,node,32344,32227,7,
thais|boat~bank:,stand,32344,32229,7,

# --- thais|bank~depot: (1 waypoints) ---
thais|bank~depot:,node,32343,32228,7,

# --- thais|depot~depot: (4 waypoints) ---
thais|depot~depot:,node,32348,32228,7,
thais|depot~depot:,node,32349,32225,8,
thais|depot~depot:,node,32347,32222,5,
thais|depot~depot:,node,32347,32222,6,

# --- thais|north.gate~depot: (9 waypoints) ---
thais|north.gate~depot:,node,32368,32187,7,
thais|north.gate~depot:,node,32368,32196,7,
thais|north.gate~depot:,node,32368,32204,7,
thais|north.gate~depot:,node,32368,32212,7,
thais|north.gate~depot:,node,32365,32215,7,
thais|north.gate~depot:,node,32356,32215,7,
thais|north.gate~depot:,node,32347,32215,7,
thais|north.gate~depot:,node,32346,32221,7,
thais|north.gate~depot:,node,32344,32228,7,

# --- thais|east.gate~depot: (11 waypoints) ---
thais|east.gate~depot:,node,32423,32225,7,
thais|east.gate~depot:,node,32419,32215,7,
thais|east.gate~depot:,node,32409,32214,7,
thais|east.gate~depot:,node,32399,32214,7,
thais|east.gate~depot:,node,32388,32214,7,
thais|east.gate~depot:,node,32378,32214,7,
thais|east.gate~depot:,node,32368,32214,7,
thais|east.gate~depot:,node,32358,32214,7,
thais|east.gate~depot:,node,32348,32214,7,
thais|east.gate~depot:,node,32345,32220,7,
thais|east.gate~depot:,node,32344,32227,7,

# --- thais|south.gate~depot: (7 waypoints) ---
thais|south.gate~depot:,node,32342,32273,7,
thais|south.gate~depot:,node,32338,32272,7,
thais|south.gate~depot:,node,32338,32262,7,
thais|south.gate~depot:,node,32338,32252,7,
thais|south.gate~depot:,node,32338,32242,7,
thais|south.gate~depot:,node,32338,32232,7,
thais|south.gate~depot:,node,32343,32226,7,

# --- thais|west.gate~depot: (8 waypoints) ---
thais|west.gate~depot:,node,32288,32257,7,
thais|west.gate~depot:,node,32300,32257,7,
thais|west.gate~depot:,node,32307,32252,7,
thais|west.gate~depot:,node,32313,32248,7,
thais|west.gate~depot:,node,32326,32248,7,
thais|west.gate~depot:,node,32337,32248,7,
thais|west.gate~depot:,node,32337,32234,7,
thais|west.gate~depot:,node,32340,32225,7,

# --- thais|temple~depot: (7 waypoints) ---
thais|temple~depot:,node,32369,32232,7,
thais|temple~depot:,node,32369,32223,7,
thais|temple~depot:,node,32369,32215,7,
thais|temple~depot:,node,32360,32215,7,
thais|temple~depot:,node,32351,32215,7,
thais|temple~depot:,node,32346,32220,7,
thais|temple~depot:,node,32344,32227,7,

# --- thais|loot~depot: (7 waypoints) ---
thais|loot~depot:,node,32368,32198,7,
thais|loot~depot:,node,32368,32206,7,
thais|loot~depot:,node,32368,32214,7,
thais|loot~depot:,node,32358,32214,7,
thais|loot~depot:,node,32348,32214,7,
thais|loot~depot:,node,32345,32221,7,
thais|loot~depot:,node,32344,32227,7,

# --- thais|boat~depot: (6 waypoints) ---
thais|boat~depot:,node,32314,32211,6,
thais|boat~depot:,node,32320,32211,6,
thais|boat~depot:,stand,32321,32211,6,
thais|boat~depot:,node,32327,32215,7,
thais|boat~depot:,node,32336,32220,7,
thais|boat~depot:,node,32344,32227,7,

# --- depot|thais|1: (1 waypoints) ---
depot|thais|1:,stand,32350,32228,7,

# --- depot|thais|2: (2 waypoints) ---
depot|thais|2:,stand,32350,32228,7,
depot|thais|2:,stand,32350,32226,7,

# --- depot|thais|3: (1 waypoints) ---
depot|thais|3:,stand,32347,32222,6,

# --- depot|thais|4: (1 waypoints) ---
depot|thais|4:,stand,32348,32225,6,

# --- depot|thais|5: (1 waypoints) ---
depot|thais|5:,stand,32349,32228,5,

# --- thais|temple~temple: (1 waypoints) ---
thais|temple~temple:,node,32368,32238,7,

# --- thais|depot~temple: (10 waypoints) ---
thais|depot~temple:,node,32346,32231,8,
thais|depot~temple:,stand,32347,32231,8,
thais|depot~temple:,stand,32348,32225,5,
thais|depot~temple:,stand,32350,32226,6,
thais|depot~temple:,node,32346,32223,7,
thais|depot~temple:,node,32350,32215,7,
thais|depot~temple:,node,32361,32215,7,
thais|depot~temple:,node,32368,32219,7,
thais|depot~temple:,node,32368,32228,7,
thais|depot~temple:,node,32368,32238,7,

# --- thais|bank~temple: (6 waypoints) ---
thais|bank~temple:,node,32346,32223,7,
thais|bank~temple:,node,32350,32215,7,
thais|bank~temple:,node,32361,32215,7,
thais|bank~temple:,node,32368,32219,7,
thais|bank~temple:,node,32368,32228,7,
thais|bank~temple:,node,32368,32238,7,

# --- thais|boat~temple: (9 waypoints) ---
thais|boat~temple:,node,32320,32211,6,
thais|boat~temple:,stand,32321,32211,6,
thais|boat~temple:,node,32329,32214,7,
thais|boat~temple:,node,32341,32215,7,
thais|boat~temple:,node,32355,32215,7,
thais|boat~temple:,node,32366,32215,7,
thais|boat~temple:,node,32369,32223,7,
thais|boat~temple:,node,32369,32231,7,
thais|boat~temple:,node,32369,32239,7,

# --- thais|loot~temple: (5 waypoints) ---
thais|loot~temple:,node,32368,32198,7,
thais|loot~temple:,node,32368,32208,7,
thais|loot~temple:,node,32368,32220,7,
thais|loot~temple:,node,32368,32230,7,
thais|loot~temple:,node,32369,32239,7,

# --- thais|north.gate~temple: (7 waypoints) ---
thais|north.gate~temple:,node,32368,32185,7,
thais|north.gate~temple:,node,32368,32194,7,
thais|north.gate~temple:,node,32368,32203,7,
thais|north.gate~temple:,node,32368,32212,7,
thais|north.gate~temple:,node,32368,32221,7,
thais|north.gate~temple:,node,32368,32230,7,
thais|north.gate~temple:,node,32369,32239,7,

# --- thais|east.gate~temple: (10 waypoints) ---
thais|east.gate~temple:,node,32422,32225,7,
thais|east.gate~temple:,node,32419,32216,7,
thais|east.gate~temple:,node,32409,32215,7,
thais|east.gate~temple:,node,32399,32214,7,
thais|east.gate~temple:,node,32389,32214,7,
thais|east.gate~temple:,node,32379,32214,7,
thais|east.gate~temple:,node,32372,32216,7,
thais|east.gate~temple:,node,32369,32224,7,
thais|east.gate~temple:,node,32369,32232,7,
thais|east.gate~temple:,node,32369,32240,7,

# --- thais|south.gate~temple: (12 waypoints) ---
thais|south.gate~temple:,node,32342,32274,7,
thais|south.gate~temple:,node,32338,32267,7,
thais|south.gate~temple:,node,32338,32255,7,
thais|south.gate~temple:,node,32338,32244,7,
thais|south.gate~temple:,node,32338,32234,7,
thais|south.gate~temple:,node,32338,32225,7,
thais|south.gate~temple:,node,32339,32216,7,
thais|south.gate~temple:,node,32349,32215,7,
thais|south.gate~temple:,node,32362,32215,7,
thais|south.gate~temple:,node,32368,32221,7,
thais|south.gate~temple:,node,32368,32230,7,
thais|south.gate~temple:,node,32369,32240,7,

# --- thais|west.gate~temple: (13 waypoints) ---
thais|west.gate~temple:,node,32287,32257,7,
thais|west.gate~temple:,node,32302,32257,7,
thais|west.gate~temple:,node,32311,32249,7,
thais|west.gate~temple:,node,32325,32249,7,
thais|west.gate~temple:,node,32337,32249,7,
thais|west.gate~temple:,node,32337,32237,7,
thais|west.gate~temple:,node,32337,32226,7,
thais|west.gate~temple:,node,32340,32217,7,
thais|west.gate~temple:,node,32351,32215,7,
thais|west.gate~temple:,node,32364,32215,7,
thais|west.gate~temple:,node,32369,32221,7,
thais|west.gate~temple:,node,32369,32231,7,
thais|west.gate~temple:,node,32369,32240,7,

# --- thais|loot~loot: (1 waypoints) ---
thais|loot~loot:,node,32360,32199,7,

# --- thais|depot~loot: (11 waypoints) ---
thais|depot~loot:,node,32346,32231,8,
thais|depot~loot:,stand,32347,32231,8,
thais|depot~loot:,stand,32348,32225,5,
thais|depot~loot:,stand,32350,32226,6,
thais|depot~loot:,node,32346,32223,7,
thais|depot~loot:,node,32346,32215,7,
thais|depot~loot:,node,32358,32215,7,
thais|depot~loot:,node,32368,32214,7,
thais|depot~loot:,node,32368,32205,7,
thais|depot~loot:,node,32366,32199,7,
thais|depot~loot:,node,32360,32199,7,

# --- thais|bank~loot: (7 waypoints) ---
thais|bank~loot:,node,32346,32223,7,
thais|bank~loot:,node,32346,32215,7,
thais|bank~loot:,node,32358,32215,7,
thais|bank~loot:,node,32368,32214,7,
thais|bank~loot:,node,32368,32205,7,
thais|bank~loot:,node,32366,32199,7,
thais|bank~loot:,node,32360,32199,7,

# --- thais|temple~loot: (5 waypoints) ---
thais|temple~loot:,node,32369,32235,7,
thais|temple~loot:,node,32369,32224,7,
thais|temple~loot:,node,32369,32213,7,
thais|temple~loot:,node,32368,32203,7,
thais|temple~loot:,node,32360,32199,7,

# --- thais|boat~loot: (9 waypoints) ---
thais|boat~loot:,node,32320,32211,6,
thais|boat~loot:,stand,32321,32211,6,
thais|boat~loot:,node,32329,32215,7,
thais|boat~loot:,node,32342,32215,7,
thais|boat~loot:,node,32355,32215,7,
thais|boat~loot:,node,32368,32215,7,
thais|boat~loot:,node,32368,32206,7,
thais|boat~loot:,node,32366,32199,7,
thais|boat~loot:,node,32360,32199,7,

# --- thais|north.gate~loot: (3 waypoints) ---
thais|north.gate~loot:,node,32368,32185,7,
thais|north.gate~loot:,node,32368,32195,7,
thais|north.gate~loot:,node,32360,32199,7,

# --- thais|east.gate~loot: (10 waypoints) ---
thais|east.gate~loot:,node,32426,32225,7,
thais|east.gate~loot:,node,32421,32222,7,
thais|east.gate~loot:,node,32419,32216,7,
thais|east.gate~loot:,node,32409,32215,7,
thais|east.gate~loot:,node,32396,32215,7,
thais|east.gate~loot:,node,32384,32215,7,
thais|east.gate~loot:,node,32373,32215,7,
thais|east.gate~loot:,node,32368,32209,7,
thais|east.gate~loot:,node,32367,32201,7,
thais|east.gate~loot:,node,32360,32199,7,

# --- thais|south.gate~loot: (12 waypoints) ---
thais|south.gate~loot:,node,32342,32273,7,
thais|south.gate~loot:,node,32338,32270,7,
thais|south.gate~loot:,node,32338,32259,7,
thais|south.gate~loot:,node,32338,32248,7,
thais|south.gate~loot:,node,32338,32237,7,
thais|south.gate~loot:,node,32338,32226,7,
thais|south.gate~loot:,node,32340,32217,7,
thais|south.gate~loot:,node,32349,32215,7,
thais|south.gate~loot:,node,32361,32215,7,
thais|south.gate~loot:,node,32368,32209,7,
thais|south.gate~loot:,node,32367,32200,7,
thais|south.gate~loot:,node,32360,32199,7,

# --- thais|west.gate~loot: (12 waypoints) ---
thais|west.gate~loot:,node,32287,32257,7,
thais|west.gate~loot:,node,32302,32257,7,
thais|west.gate~loot:,node,32312,32249,7,
thais|west.gate~loot:,node,32326,32248,7,
thais|west.gate~loot:,node,32338,32248,7,
thais|west.gate~loot:,node,32338,32236,7,
thais|west.gate~loot:,node,32338,32226,7,
thais|west.gate~loot:,node,32340,32217,7,
thais|west.gate~loot:,node,32355,32215,7,
thais|west.gate~loot:,node,32367,32214,7,
thais|west.gate~loot:,node,32367,32203,7,
thais|west.gate~loot:,node,32360,32199,7,

# --- thais|potions~potions: (1 waypoints) ---
thais|potions~potions:,stand,32400,32219,7,

# --- thais|runes~runes: (1 waypoints) ---
thais|runes~runes:,stand,32399,32220,7,

# --- thais|runes~potions: (1 waypoints) ---
thais|runes~potions:,stand,32400,32219,7,

# --- thais|temple~potions: (9 waypoints) ---
thais|temple~potions:,node,32369,32232,7,
thais|temple~potions:,node,32369,32223,7,
thais|temple~potions:,node,32372,32216,7,
thais|temple~potions:,node,32380,32215,7,
thais|temple~potions:,node,32389,32214,7,
thais|temple~potions:,node,32398,32214,7,
thais|temple~potions:,node,32400,32215,7,
thais|temple~potions:,door,32400,32217,7,
thais|temple~potions:,node,32400,32219,7,

# --- thais|loot~potions: (9 waypoints) ---
thais|loot~potions:,node,32366,32199,7,
thais|loot~potions:,node,32368,32205,7,
thais|loot~potions:,node,32368,32212,7,
thais|loot~potions:,node,32375,32215,7,
thais|loot~potions:,node,32385,32215,7,
thais|loot~potions:,node,32396,32215,7,
thais|loot~potions:,node,32400,32215,7,
thais|loot~potions:,door,32400,32217,7,
thais|loot~potions:,node,32400,32219,7,

# --- thais|depot~potions: (13 waypoints) ---
thais|depot~potions:,node,32346,32231,8,
thais|depot~potions:,stand,32347,32231,8,
thais|depot~potions:,stand,32348,32225,5,
thais|depot~potions:,stand,32350,32226,6,
thais|depot~potions:,node,32345,32219,7,
thais|depot~potions:,node,32352,32215,7,
thais|depot~potions:,node,32363,32215,7,
thais|depot~potions:,node,32374,32215,7,
thais|depot~potions:,node,32385,32215,7,
thais|depot~potions:,node,32396,32215,7,
thais|depot~potions:,node,32400,32215,7,
thais|depot~potions:,door,32400,32217,7,
thais|depot~potions:,node,32400,32219,7,

# --- thais|bank~potions: (9 waypoints) ---
thais|bank~potions:,node,32345,32219,7,
thais|bank~potions:,node,32352,32215,7,
thais|bank~potions:,node,32363,32215,7,
thais|bank~potions:,node,32374,32215,7,
thais|bank~potions:,node,32385,32215,7,
thais|bank~potions:,node,32396,32215,7,
thais|bank~potions:,node,32400,32215,7,
thais|bank~potions:,door,32400,32217,7,
thais|bank~potions:,node,32400,32219,7,

# --- thais|boat~potions: (12 waypoints) ---
thais|boat~potions:,node,32320,32211,6,
thais|boat~potions:,stand,32321,32211,6,
thais|boat~potions:,node,32330,32215,7,
thais|boat~potions:,node,32342,32215,7,
thais|boat~potions:,node,32354,32215,7,
thais|boat~potions:,node,32366,32215,7,
thais|boat~potions:,node,32377,32215,7,
thais|boat~potions:,node,32387,32215,7,
thais|boat~potions:,node,32396,32215,7,
thais|boat~potions:,node,32400,32215,7,
thais|boat~potions:,door,32400,32217,7,
thais|boat~potions:,node,32400,32219,7,

# --- thais|east.gate~potions: (6 waypoints) ---
thais|east.gate~potions:,node,32422,32223,7,
thais|east.gate~potions:,node,32418,32215,7,
thais|east.gate~potions:,node,32406,32215,7,
thais|east.gate~potions:,node,32400,32215,7,
thais|east.gate~potions:,door,32400,32217,7,
thais|east.gate~potions:,node,32400,32219,7,

# --- thais|north.gate~potions: (10 waypoints) ---
thais|north.gate~potions:,node,32368,32186,7,
thais|north.gate~potions:,node,32368,32194,7,
thais|north.gate~potions:,node,32368,32202,7,
thais|north.gate~potions:,node,32368,32210,7,
thais|north.gate~potions:,node,32375,32215,7,
thais|north.gate~potions:,node,32387,32215,7,
thais|north.gate~potions:,node,32398,32215,7,
thais|north.gate~potions:,node,32400,32215,7,
thais|north.gate~potions:,door,32400,32217,7,
thais|north.gate~potions:,node,32400,32219,7,

# --- thais|south.gate~potions: (17 waypoints) ---
thais|south.gate~potions:,node,32342,32273,7,
thais|south.gate~potions:,node,32338,32269,7,
thais|south.gate~potions:,node,32338,32260,7,
thais|south.gate~potions:,node,32338,32251,7,
thais|south.gate~potions:,node,32338,32242,7,
thais|south.gate~potions:,node,32338,32233,7,
thais|south.gate~potions:,node,32338,32224,7,
thais|south.gate~potions:,node,32340,32217,7,
thais|south.gate~potions:,node,32347,32215,7,
thais|south.gate~potions:,node,32356,32215,7,
thais|south.gate~potions:,node,32365,32215,7,
thais|south.gate~potions:,node,32374,32215,7,
thais|south.gate~potions:,node,32383,32215,7,
thais|south.gate~potions:,node,32392,32215,7,
thais|south.gate~potions:,node,32400,32215,7,
thais|south.gate~potions:,door,32400,32217,7,
thais|south.gate~potions:,node,32400,32219,7,

# --- thais|west.gate~potions: (19 waypoints) ---
thais|west.gate~potions:,node,32288,32258,7,
thais|west.gate~potions:,node,32301,32258,7,
thais|west.gate~potions:,node,32307,32251,7,
thais|west.gate~potions:,node,32315,32249,7,
thais|west.gate~potions:,node,32326,32248,7,
thais|west.gate~potions:,node,32338,32248,7,
thais|west.gate~potions:,node,32338,32240,7,
thais|west.gate~potions:,node,32338,32232,7,
thais|west.gate~potions:,node,32338,32224,7,
thais|west.gate~potions:,node,32340,32217,7,
thais|west.gate~potions:,node,32349,32215,7,
thais|west.gate~potions:,node,32359,32215,7,
thais|west.gate~potions:,node,32369,32215,7,
thais|west.gate~potions:,node,32379,32215,7,
thais|west.gate~potions:,node,32389,32215,7,
thais|west.gate~potions:,node,32398,32215,7,
thais|west.gate~potions:,node,32400,32215,7,
thais|west.gate~potions:,door,32400,32217,7,
thais|west.gate~potions:,node,32400,32219,7,

# --- thais|north.gate~north.gate: (1 waypoints) ---
thais|north.gate~north.gate:,node,32368,32185,7,

# --- thais|depot~north.gate: (11 waypoints) ---
thais|depot~north.gate:,node,32346,32231,8,
thais|depot~north.gate:,stand,32347,32231,8,
thais|depot~north.gate:,stand,32348,32225,5,
thais|depot~north.gate:,stand,32350,32226,6,
thais|depot~north.gate:,node,32346,32217,7,
thais|depot~north.gate:,node,32355,32215,7,
thais|depot~north.gate:,node,32365,32215,7,
thais|depot~north.gate:,node,32368,32210,7,
thais|depot~north.gate:,node,32368,32202,7,
thais|depot~north.gate:,node,32368,32194,7,
thais|depot~north.gate:,node,32368,32185,7,

# --- thais|bank~north.gate: (7 waypoints) ---
thais|bank~north.gate:,node,32346,32217,7,
thais|bank~north.gate:,node,32355,32215,7,
thais|bank~north.gate:,node,32365,32215,7,
thais|bank~north.gate:,node,32368,32210,7,
thais|bank~north.gate:,node,32368,32202,7,
thais|bank~north.gate:,node,32368,32194,7,
thais|bank~north.gate:,node,32368,32185,7,

# --- thais|temple~north.gate: (6 waypoints) ---
thais|temple~north.gate:,node,32369,32233,7,
thais|temple~north.gate:,node,32369,32223,7,
thais|temple~north.gate:,node,32369,32213,7,
thais|temple~north.gate:,node,32369,32203,7,
thais|temple~north.gate:,node,32369,32193,7,
thais|temple~north.gate:,node,32369,32183,7,

# --- thais|boat~north.gate: (10 waypoints) ---
thais|boat~north.gate:,node,32320,32211,6,
thais|boat~north.gate:,stand,32321,32211,6,
thais|boat~north.gate:,node,32327,32215,7,
thais|boat~north.gate:,node,32339,32215,7,
thais|boat~north.gate:,node,32351,32215,7,
thais|boat~north.gate:,node,32363,32215,7,
