source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- port hope|south.exit~boat: (18 waypoints) ---
port hope|potions~boat:,node,32609,32762,7,
port hope|potions~boat:,node,32601,32762,7,
port hope|potions~boat:,node,32593,32762,7,
port hope|potions~boat:,node,32584,32763,7,
port hope|potions~boat:,node,32578,32766,7,
port hope|potions~boat:,ladder,32578,32766,7,
port hope|potions~boat:,node,32574,32768,6,
port hope|potions~boat:,node,32562,32767,6,
port hope|potions~boat:,node,32556,32774,6,
port hope|potions~boat:,node,32556,32783,6,
port hope|potions~boat:,node,32545,32786,6,
port hope|potions~boat:,node,32540,32779,6,
port hope|potions~boat:,node,32532,32779,6,
port hope|potions~boat:,node,32530,32784,6,
port hope|potions~boat:,stand,32530,32784,6,

# --- port hope|runes~boat: (21 waypoints) ---
port hope|runes~boat:,node,32625,32742,5,
port hope|runes~boat:,stand,32626,32742,5,
port hope|runes~boat:,node,32625,32748,6,
port hope|runes~boat:,stand,32625,32749,6,
port hope|runes~boat:,node,32621,32753,7,
port hope|runes~boat:,node,32618,32760,7,
port hope|runes~boat:,node,32609,32762,7,
port hope|runes~boat:,node,32601,32762,7,
port hope|runes~boat:,node,32593,32762,7,
port hope|runes~boat:,node,32584,32763,7,
port hope|runes~boat:,node,32578,32766,7,
port hope|runes~boat:,ladder,32578,32766,7,
port hope|runes~boat:,node,32574,32768,6,
port hope|runes~boat:,node,32562,32767,6,
port hope|runes~boat:,node,32556,32774,6,
port hope|runes~boat:,node,32556,32783,6,
port hope|runes~boat:,node,32545,32786,6,
port hope|runes~boat:,node,32540,32779,6,
port hope|runes~boat:,node,32532,32779,6,
port hope|runes~boat:,node,32530,32784,6,
port hope|runes~boat:,stand,32530,32784,6,

# --- port hope|bank~boat: (19 waypoints) ---
port hope|bank~boat:,node,32625,32748,6,
port hope|bank~boat:,stand,32625,32749,6,
port hope|bank~boat:,node,32621,32753,7,
port hope|bank~boat:,node,32618,32760,7,
port hope|bank~boat:,node,32609,32762,7,
port hope|bank~boat:,node,32601,32762,7,
port hope|bank~boat:,node,32593,32762,7,
port hope|bank~boat:,node,32584,32763,7,
port hope|bank~boat:,node,32578,32766,7,
port hope|bank~boat:,ladder,32578,32766,7,
port hope|bank~boat:,node,32574,32768,6,
port hope|bank~boat:,node,32562,32767,6,
port hope|bank~boat:,node,32556,32774,6,
port hope|bank~boat:,node,32556,32783,6,
port hope|bank~boat:,node,32545,32786,6,
port hope|bank~boat:,node,32540,32779,6,
port hope|bank~boat:,node,32532,32779,6,
port hope|bank~boat:,node,32530,32784,6,
port hope|bank~boat:,stand,32530,32784,6,

# --- port hope|ammo~boat: (19 waypoints) ---
port hope|ammo~boat:,node,32625,32748,6,
port hope|ammo~boat:,stand,32625,32749,6,
port hope|ammo~boat:,node,32621,32753,7,
port hope|ammo~boat:,node,32618,32760,7,
port hope|ammo~boat:,node,32609,32762,7,
port hope|ammo~boat:,node,32601,32762,7,
port hope|ammo~boat:,node,32593,32762,7,
port hope|ammo~boat:,node,32584,32763,7,
port hope|ammo~boat:,node,32578,32766,7,
port hope|ammo~boat:,ladder,32578,32766,7,
port hope|ammo~boat:,node,32574,32768,6,
port hope|ammo~boat:,node,32562,32767,6,
port hope|ammo~boat:,node,32556,32774,6,
port hope|ammo~boat:,node,32556,32783,6,
port hope|ammo~boat:,node,32545,32786,6,
port hope|ammo~boat:,node,32540,32779,6,
port hope|ammo~boat:,node,32532,32779,6,
port hope|ammo~boat:,node,32530,32784,6,
port hope|ammo~boat:,stand,32530,32784,6,

# --- port hope|loot~boat: (19 waypoints) ---
port hope|loot~boat:,node,32625,32748,6,
port hope|loot~boat:,stand,32625,32749,6,
port hope|loot~boat:,node,32621,32753,7,
port hope|loot~boat:,node,32618,32760,7,
port hope|loot~boat:,node,32609,32762,7,
port hope|loot~boat:,node,32601,32762,7,
port hope|loot~boat:,node,32593,32762,7,
port hope|loot~boat:,node,32584,32763,7,
port hope|loot~boat:,node,32578,32766,7,
port hope|loot~boat:,ladder,32578,32766,7,
port hope|loot~boat:,node,32574,32768,6,
port hope|loot~boat:,node,32562,32767,6,
port hope|loot~boat:,node,32556,32774,6,
port hope|loot~boat:,node,32556,32783,6,
port hope|loot~boat:,node,32545,32786,6,
port hope|loot~boat:,node,32540,32779,6,
port hope|loot~boat:,node,32532,32779,6,
port hope|loot~boat:,node,32530,32784,6,
port hope|loot~boat:,stand,32530,32784,6,

# --- port hope|trainers~boat: (12 waypoints) ---
port hope|trainers~boat:,node,32580,32759,7,
port hope|trainers~boat:,node,32578,32766,7,
port hope|trainers~boat:,ladder,32578,32766,7,
port hope|trainers~boat:,node,32574,32768,6,
port hope|trainers~boat:,node,32562,32767,6,
port hope|trainers~boat:,node,32556,32774,6,
port hope|trainers~boat:,node,32556,32783,6,
port hope|trainers~boat:,node,32545,32786,6,
port hope|trainers~boat:,node,32540,32779,6,
port hope|trainers~boat:,node,32532,32779,6,
port hope|trainers~boat:,node,32530,32784,6,
port hope|trainers~boat:,stand,32530,32784,6,

# --- port hope|south.exit~depot: (14 waypoints) ---
port hope|south.exit~depot:,node,32643,32791,7,
port hope|south.exit~depot:,node,32637,32786,7,
port hope|south.exit~depot:,node,32629,32785,7,
port hope|south.exit~depot:,ladder,32629,32785,7,
port hope|south.exit~depot:,node,32630,32779,6,
port hope|south.exit~depot:,node,32633,32773,6,
port hope|south.exit~depot:,node,32638,32770,6,
port hope|south.exit~depot:,stand,32638,32769,6,
port hope|south.exit~depot:,node,32631,32769,7,
port hope|south.exit~depot:,node,32629,32762,7,
port hope|south.exit~depot:,node,32628,32755,7,
port hope|south.exit~depot:,node,32623,32751,7,
port hope|south.exit~depot:,node,32623,32743,7,
port hope|south.exit~depot:,stand,32623,32743,7,

# --- port hope|east.exit~depot: (5 waypoints) ---
port hope|east.exit~depot:,node,32635,32752,7,
port hope|east.exit~depot:,node,32623,32752,7,
port hope|east.exit~depot:,node,32622,32746,7,
port hope|east.exit~depot:,node,32622,32741,7,
port hope|east.exit~depot:,stand,32622,32741,7,

# --- port hope|depot~depot: (6 waypoints) ---
port hope|depot~depot:,node,32625,32742,5,
port hope|depot~depot:,stand,32626,32742,5,
port hope|depot~depot:,node,32625,32748,6,
port hope|depot~depot:,stand,32625,32749,6,
port hope|depot~depot:,node,32622,32742,7,
port hope|depot~depot:,stand,32622,32742,7,

# --- port hope|north.exit~depot: (3 waypoints) ---
port hope|north.exit~depot:,node,32619,32750,7,
port hope|north.exit~depot:,node,32623,32742,7,
port hope|north.exit~depot:,stand,32623,32742,7,

# --- port hope|boat~depot: (17 waypoints) ---
port hope|boat~depot:,node,32534,32778,6,
port hope|boat~depot:,node,32543,32779,6,
port hope|boat~depot:,node,32545,32787,6,
port hope|boat~depot:,node,32557,32787,6,
port hope|boat~depot:,node,32557,32775,6,
port hope|boat~depot:,node,32562,32767,6,
port hope|boat~depot:,node,32575,32768,6,
port hope|boat~depot:,node,32578,32767,6,
port hope|boat~depot:,stand,32578,32766,6,
port hope|boat~depot:,node,32581,32770,7,
port hope|boat~depot:,node,32590,32770,7,
port hope|boat~depot:,node,32597,32767,7,
port hope|boat~depot:,node,32605,32762,7,
port hope|boat~depot:,node,32617,32762,7,
port hope|boat~depot:,node,32617,32752,7,
port hope|boat~depot:,node,32622,32742,7,
port hope|boat~depot:,stand,32622,32742,7,

# --- port hope|temple~depot: (7 waypoints) ---
port hope|temple~depot:,node,32599,32752,7,
port hope|temple~depot:,node,32605,32756,7,
port hope|temple~depot:,node,32610,32762,7,
port hope|temple~depot:,node,32617,32762,7,
port hope|temple~depot:,node,32617,32752,7,
port hope|temple~depot:,node,32622,32742,7,
port hope|temple~depot:,stand,32622,32742,7,

# --- port hope|potions~depot: (6 waypoints) ---
port hope|potions~depot:,node,32625,32742,5,
port hope|potions~depot:,stand,32626,32742,5,
port hope|potions~depot:,node,32625,32748,6,
port hope|potions~depot:,stand,32625,32749,6,
port hope|potions~depot:,node,32622,32742,7,
port hope|potions~depot:,stand,32622,32742,7,

# --- port hope|runes~depot: (6 waypoints) ---
port hope|runes~depot:,node,32625,32742,5,
port hope|runes~depot:,stand,32626,32742,5,
port hope|runes~depot:,node,32625,32748,6,
port hope|runes~depot:,stand,32625,32749,6,
port hope|runes~depot:,node,32622,32742,7,
port hope|runes~depot:,stand,32622,32742,7,

# --- port hope|bank~depot: (4 waypoints) ---
port hope|bank~depot:,stand,32632,32746,6,
port hope|bank~depot:,stand,32625,32749,6,
port hope|bank~depot:,node,32622,32742,7,
port hope|bank~depot:,stand,32622,32742,7,

# --- port hope|ammo~depot: (3 waypoints) ---
port hope|ammo~depot:,stand,32625,32749,6,
port hope|ammo~depot:,node,32622,32742,7,
port hope|ammo~depot:,stand,32622,32742,7,

# --- port hope|loot~depot: (3 waypoints) ---
port hope|loot~depot:,stand,32625,32749,6,
port hope|loot~depot:,node,32622,32742,7,
port hope|loot~depot:,stand,32622,32742,7,

# --- port hope|food~depot: (9 waypoints) ---
port hope|food~depot:,node,32582,32752,7,
port hope|food~depot:,node,32590,32752,7,
port hope|food~depot:,node,32599,32752,7,
port hope|food~depot:,node,32605,32756,7,
port hope|food~depot:,node,32610,32762,7,
port hope|food~depot:,node,32617,32762,7,
port hope|food~depot:,node,32617,32752,7,
port hope|food~depot:,node,32622,32742,7,
port hope|food~depot:,stand,32622,32742,7,

# --- port hope|trainers~depot: (11 waypoints) ---
port hope|trainers~depot:,node,32629,32785,7,
port hope|trainers~depot:,ladder,32629,32785,7,
port hope|trainers~depot:,node,32629,32778,6,
port hope|trainers~depot:,node,32633,32773,6,
port hope|trainers~depot:,node,32638,32770,6,
port hope|trainers~depot:,stand,32638,32769,6,
port hope|trainers~depot:,node,32630,32767,7,
port hope|trainers~depot:,node,32628,32760,7,
port hope|trainers~depot:,node,32624,32754,7,
port hope|trainers~depot:,node,32622,32742,7,
port hope|trainers~depot:,stand,32622,32742,7,

# --- depot|port hope|1: (1 waypoints) ---
depot|port hope|1:,stand,32622,32742,7,

# --- depot|port hope|2: (1 waypoints) ---
depot|port hope|2:,node,32632,32742,7,

# --- port hope|south.exit~temple: (14 waypoints) ---
port hope|south.exit~temple:,node,32643,32791,7,
port hope|south.exit~temple:,node,32637,32786,7,
port hope|south.exit~temple:,node,32629,32785,7,
port hope|south.exit~temple:,ladder,32629,32785,7,
port hope|south.exit~temple:,node,32629,32779,6,
port hope|south.exit~temple:,node,32628,32773,6,
port hope|south.exit~temple:,node,32618,32772,6,
port hope|south.exit~temple:,stand,32618,32771,6,
port hope|south.exit~temple:,node,32616,32763,7,
port hope|south.exit~temple:,node,32607,32761,7,
port hope|south.exit~temple:,node,32604,32753,7,
port hope|south.exit~temple:,node,32598,32751,7,
port hope|south.exit~temple:,node,32595,32746,7,
port hope|south.exit~temple:,stand,32595,32746,7,

# --- port hope|east.exit~temple: (9 waypoints) ---
port hope|east.exit~temple:,node,32635,32752,7,
port hope|east.exit~temple:,node,32623,32752,7,
port hope|east.exit~temple:,node,32618,32755,7,
port hope|east.exit~temple:,node,32616,32761,7,
port hope|east.exit~temple:,node,32607,32761,7,
port hope|east.exit~temple:,node,32604,32754,7,
port hope|east.exit~temple:,node,32597,32751,7,
port hope|east.exit~temple:,node,32595,32745,7,
port hope|east.exit~temple:,stand,32595,32745,7,

# --- port hope|temple~temple: (2 waypoints) ---
port hope|temple~temple:,node,32595,32746,7,
port hope|temple~temple:,stand,32595,32746,7,

# --- port hope|north.exit~temple: (6 waypoints) ---
port hope|north.exit~temple:,node,32617,32752,7,
port hope|north.exit~temple:,node,32616,32761,7,
port hope|north.exit~temple:,node,32607,32761,7,
port hope|north.exit~temple:,node,32604,32753,7,
port hope|north.exit~temple:,node,32595,32746,7,
port hope|north.exit~temple:,stand,32595,32746,7,

# --- port hope|boat~temple: (12 waypoints) ---
port hope|boat~temple:,node,32537,32779,6,
port hope|boat~temple:,node,32544,32786,6,
port hope|boat~temple:,node,32556,32783,6,
port hope|boat~temple:,node,32557,32773,6,
port hope|boat~temple:,node,32563,32767,6,
port hope|boat~temple:,node,32572,32768,6,
port hope|boat~temple:,node,32578,32767,6,
port hope|boat~temple:,stand,32578,32766,6,
port hope|boat~temple:,node,32584,32761,7,
port hope|boat~temple:,node,32589,32753,7,
port hope|boat~temple:,node,32595,32746,7,
port hope|boat~temple:,stand,32595,32746,7,

# --- port hope|depot~temple: (10 waypoints) ---
port hope|depot~temple:,node,32625,32742,5,
port hope|depot~temple:,stand,32626,32742,5,
port hope|depot~temple:,node,32625,32748,6,
port hope|depot~temple:,stand,32625,32749,6,
port hope|depot~temple:,node,32617,32752,7,
port hope|depot~temple:,node,32617,32761,7,
port hope|depot~temple:,node,32606,32761,7,
port hope|depot~temple:,node,32602,32753,7,
port hope|depot~temple:,node,32595,32746,7,
port hope|depot~temple:,stand,32595,32746,7,

# --- port hope|food~temple: (4 waypoints) ---
port hope|food~temple:,node,32582,32753,7,
port hope|food~temple:,node,32589,32753,7,
port hope|food~temple:,node,32595,32746,7,
port hope|food~temple:,stand,32595,32746,7,

# --- port hope|potions~temple: (10 waypoints) ---
port hope|potions~temple:,node,32625,32742,5,
port hope|potions~temple:,stand,32626,32742,5,
port hope|potions~temple:,node,32625,32748,6,
port hope|potions~temple:,stand,32625,32749,6,
port hope|potions~temple:,node,32617,32752,7,
port hope|potions~temple:,node,32617,32761,7,
port hope|potions~temple:,node,32606,32761,7,
port hope|potions~temple:,node,32602,32753,7,
port hope|potions~temple:,node,32595,32746,7,
port hope|potions~temple:,stand,32595,32746,7,

# --- port hope|runes~temple: (10 waypoints) ---
port hope|runes~temple:,node,32625,32742,5,
port hope|runes~temple:,stand,32626,32742,5,
port hope|runes~temple:,node,32625,32748,6,
port hope|runes~temple:,stand,32625,32749,6,
port hope|runes~temple:,node,32617,32752,7,
port hope|runes~temple:,node,32617,32761,7,
port hope|runes~temple:,node,32606,32761,7,
port hope|runes~temple:,node,32602,32753,7,
port hope|runes~temple:,node,32595,32746,7,
port hope|runes~temple:,stand,32595,32746,7,

# --- port hope|bank~temple: (9 waypoints) ---
port hope|bank~temple:,node,32631,32746,6,
port hope|bank~temple:,node,32625,32748,6,
port hope|bank~temple:,stand,32625,32749,6,
port hope|bank~temple:,node,32617,32752,7,
port hope|bank~temple:,node,32617,32761,7,
port hope|bank~temple:,node,32606,32761,7,
port hope|bank~temple:,node,32602,32753,7,
port hope|bank~temple:,node,32595,32746,7,
port hope|bank~temple:,stand,32595,32746,7,

# --- port hope|ammo~temple: (8 waypoints) ---
port hope|ammo~temple:,node,32625,32748,6,
port hope|ammo~temple:,stand,32625,32749,6,
port hope|ammo~temple:,node,32617,32752,7,
port hope|ammo~temple:,node,32617,32761,7,
port hope|ammo~temple:,node,32606,32761,7,
port hope|ammo~temple:,node,32602,32753,7,
port hope|ammo~temple:,node,32595,32746,7,
port hope|ammo~temple:,stand,32595,32746,7,

# --- port hope|loot~temple: (8 waypoints) ---
port hope|loot~temple:,node,32625,32748,6,
port hope|loot~temple:,stand,32625,32749,6,
port hope|loot~temple:,node,32617,32752,7,
port hope|loot~temple:,node,32617,32761,7,
port hope|loot~temple:,node,32606,32761,7,
port hope|loot~temple:,node,32602,32753,7,
port hope|loot~temple:,node,32595,32746,7,
port hope|loot~temple:,stand,32595,32746,7,

# --- port hope|trainers~temple: (12 waypoints) ---
port hope|trainers~temple:,node,32636,32789,7,
port hope|trainers~temple:,node,32629,32785,7,
port hope|trainers~temple:,ladder,32629,32785,7,
port hope|trainers~temple:,node,32629,32778,6,
port hope|trainers~temple:,node,32624,32773,6,
port hope|trainers~temple:,node,32618,32772,6,
port hope|trainers~temple:,stand,32618,32771,6,
port hope|trainers~temple:,node,32613,32765,7,
port hope|trainers~temple:,node,32606,32761,7,
port hope|trainers~temple:,node,32602,32753,7,
port hope|trainers~temple:,node,32595,32746,7,
port hope|trainers~temple:,stand,32595,32746,7,

# --- port hope|south.exit~bank: (16 waypoints) ---
port hope|south.exit~bank:,node,32643,32791,7,
port hope|south.exit~bank:,node,32637,32786,7,
port hope|south.exit~bank:,node,32629,32785,7,
port hope|south.exit~bank:,ladder,32629,32785,7,
port hope|south.exit~bank:,node,32630,32779,6,
port hope|south.exit~bank:,node,32633,32773,6,
port hope|south.exit~bank:,node,32638,32770,6,
port hope|south.exit~bank:,stand,32638,32769,6,
port hope|south.exit~bank:,node,32631,32769,7,
port hope|south.exit~bank:,node,32629,32762,7,
port hope|south.exit~bank:,node,32629,32756,7,
port hope|south.exit~bank:,node,32629,32750,7,
port hope|south.exit~bank:,stand,32629,32749,7,
port hope|south.exit~bank:,node,32632,32745,6,
port hope|south.exit~bank:,node,32632,32739,6,
port hope|south.exit~bank:,stand,32632,32739,6,

# --- port hope|east.exit~bank: (6 waypoints) ---
port hope|east.exit~bank:,node,32635,32752,7,
port hope|east.exit~bank:,node,32629,32750,7,
port hope|east.exit~bank:,stand,32629,32749,7,
port hope|east.exit~bank:,node,32632,32746,6,
port hope|east.exit~bank:,node,32632,32739,6,
port hope|east.exit~bank:,stand,32632,32739,6,

# --- port hope|bank~bank: (2 waypoints) ---
port hope|bank~bank:,node,32632,32739,6,
port hope|bank~bank:,stand,32632,32739,6,

# --- port hope|north.exit~bank: (5 waypoints) ---
port hope|north.exit~bank:,node,32624,32749,7,
port hope|north.exit~bank:,stand,32625,32749,7,
port hope|north.exit~bank:,node,32632,32746,6,
port hope|north.exit~bank:,node,32632,32739,6,
port hope|north.exit~bank:,stand,32632,32739,6,

# --- port hope|boat~bank: (20 waypoints) ---
port hope|boat~bank:,node,32534,32779,6,
port hope|boat~bank:,node,32542,32779,6,
port hope|boat~bank:,node,32544,32786,6,
port hope|boat~bank:,node,32556,32783,6,
port hope|boat~bank:,node,32557,32773,6,
port hope|boat~bank:,node,32562,32767,6,
port hope|boat~bank:,node,32572,32768,6,
port hope|boat~bank:,node,32578,32767,6,
port hope|boat~bank:,stand,32578,32766,6,
port hope|boat~bank:,node,32584,32770,7,
port hope|boat~bank:,node,32596,32770,7,
port hope|boat~bank:,node,32600,32763,7,
port hope|boat~bank:,node,32611,32763,7,
port hope|boat~bank:,node,32617,32759,7,
port hope|boat~bank:,node,32623,32754,7,
port hope|boat~bank:,node,32629,32750,7,
port hope|boat~bank:,stand,32629,32749,7,
port hope|boat~bank:,node,32632,32746,6,
port hope|boat~bank:,node,32632,32739,6,
port hope|boat~bank:,stand,32632,32739,6,

# --- port hope|temple~bank: (10 waypoints) ---
port hope|temple~bank:,node,32600,32752,7,
port hope|temple~bank:,node,32605,32757,7,
port hope|temple~bank:,node,32611,32761,7,
port hope|temple~bank:,node,32617,32759,7,
port hope|temple~bank:,node,32623,32754,7,
port hope|temple~bank:,node,32629,32750,7,
port hope|temple~bank:,stand,32629,32749,7,
port hope|temple~bank:,node,32632,32746,6,
port hope|temple~bank:,node,32632,32739,6,
port hope|temple~bank:,stand,32632,32739,6,

# --- port hope|food~bank: (12 waypoints) ---
port hope|food~bank:,node,32585,32752,7,
port hope|food~bank:,node,32593,32752,7,
port hope|food~bank:,node,32600,32752,7,
port hope|food~bank:,node,32605,32757,7,
port hope|food~bank:,node,32611,32761,7,
port hope|food~bank:,node,32617,32759,7,
port hope|food~bank:,node,32623,32754,7,
port hope|food~bank:,node,32629,32750,7,
port hope|food~bank:,stand,32629,32749,7,
port hope|food~bank:,node,32632,32746,6,
port hope|food~bank:,node,32632,32739,6,
port hope|food~bank:,stand,32632,32739,6,

# --- port hope|potions~bank: (3 waypoints) ---
port hope|potions~bank:,node,32630,32741,5,
port hope|potions~bank:,stand,32630,32742,5,
port hope|potions~bank:,stand,32632,32739,6,

# --- port hope|runes~bank: (3 waypoints) ---
port hope|runes~bank:,node,32630,32741,5,
port hope|runes~bank:,stand,32630,32742,5,
port hope|runes~bank:,stand,32632,32739,6,

# --- port hope|ammo~bank: (2 waypoints) ---
port hope|ammo~bank:,node,32632,32739,6,
port hope|ammo~bank:,stand,32632,32739,6,

# --- port hope|loot~bank: (2 waypoints) ---
port hope|loot~bank:,node,32632,32739,6,
port hope|loot~bank:,stand,32632,32739,6,

# --- port hope|trainers~bank: (15 waypoints) ---
port hope|trainers~bank:,node,32636,32788,7,
port hope|trainers~bank:,node,32629,32785,7,
port hope|trainers~bank:,ladder,32629,32785,7,
port hope|trainers~bank:,node,32630,32778,6,
port hope|trainers~bank:,node,32633,32773,6,
port hope|trainers~bank:,node,32638,32770,6,
port hope|trainers~bank:,stand,32638,32769,6,
port hope|trainers~bank:,node,32631,32769,7,
port hope|trainers~bank:,node,32629,32763,7,
port hope|trainers~bank:,node,32629,32756,7,
port hope|trainers~bank:,node,32629,32750,7,
port hope|trainers~bank:,stand,32629,32749,7,
port hope|trainers~bank:,node,32632,32746,6,
port hope|trainers~bank:,node,32632,32739,6,
port hope|trainers~bank:,stand,32632,32739,6,

# --- port hope|depot~bank: (9 waypoints) ---
port hope|depot~bank:,node,32625,32742,5,
port hope|depot~bank:,stand,32626,32742,5,
port hope|depot~bank:,node,32625,32748,6,
port hope|depot~bank:,stand,32625,32749,6,
port hope|depot~bank:,node,32624,32749,7,
port hope|depot~bank:,stand,32625,32749,7,
port hope|depot~bank:,node,32632,32746,6,
port hope|depot~bank:,node,32632,32739,6,
port hope|depot~bank:,stand,32632,32739,6,

# --- port hope|south.exit~potions: (17 waypoints) ---
port hope|south.exit~potions:,node,32643,32791,7,
port hope|south.exit~potions:,node,32637,32786,7,
port hope|south.exit~potions:,node,32629,32785,7,
port hope|south.exit~potions:,ladder,32629,32785,7,
port hope|south.exit~potions:,node,32630,32779,6,
port hope|south.exit~potions:,node,32633,32773,6,
port hope|south.exit~potions:,node,32638,32770,6,
port hope|south.exit~potions:,stand,32638,32769,6,
port hope|south.exit~potions:,node,32631,32769,7,
port hope|south.exit~potions:,node,32629,32762,7,
port hope|south.exit~potions:,node,32629,32756,7,
port hope|south.exit~potions:,node,32629,32750,7,
port hope|south.exit~potions:,stand,32629,32749,7,
