source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- farmine|carpet~temple: (22 waypoints) ---
farmine|boat~depot:,node,33025,31534,10,
farmine|boat~depot:,stand,33024,31531,10,
farmine|boat~depot:,node,33024,31525,11,
farmine|boat~depot:,stand,33024,31531,11,
farmine|boat~depot:,node,33018,31534,10,
farmine|boat~depot:,node,33016,31528,10,
farmine|boat~depot:,node,33016,31522,10,
farmine|boat~depot:,node,33016,31516,10,
farmine|boat~depot:,node,33010,31515,10,
farmine|boat~depot:,node,33004,31511,10,
farmine|boat~depot:,node,33002,31505,10,
farmine|boat~depot:,node,33002,31499,10,
farmine|boat~depot:,node,33002,31493,10,
farmine|boat~depot:,node,33002,31487,10,
farmine|boat~depot:,node,33002,31481,10,
farmine|boat~depot:,node,33008,31476,10,
farmine|boat~depot:,node,33014,31473,10,
farmine|boat~depot:,node,33016,31467,10,
farmine|boat~depot:,node,33018,31461,10,
farmine|boat~depot:,stand,33019,31458,10,
farmine|boat~depot:,stand,33024,31452,11,

# --- farmine|carpet~depot: (40 waypoints) ---
farmine|carpet~depot:,stand,32983,31539,1,
farmine|carpet~depot:,node,32989,31539,1,
farmine|carpet~depot:,stand,32991,31539,1,
farmine|carpet~depot:,use_with,32992,31539,1,0
farmine|carpet~depot:,use_with,32992,31539,1,0
farmine|carpet~depot:,node,32991,31539,4,
farmine|carpet~depot:,stand,32990,31545,4,
farmine|carpet~depot:,use_with,32990,31547,4,0
farmine|carpet~depot:,use_with,32990,31547,4,0
farmine|carpet~depot:,stand,32993,31547,4,
farmine|carpet~depot:,use_with,32994,31547,4,0
farmine|carpet~depot:,use_with,32994,31547,4,0
farmine|carpet~depot:,use_with,33061,31529,10,0
farmine|carpet~depot:,use_with,33061,31529,10,0
farmine|carpet~depot:,node,33055,31531,10,
farmine|carpet~depot:,node,33049,31531,10,
farmine|carpet~depot:,node,33043,31532,10,
farmine|carpet~depot:,node,33037,31534,10,
farmine|carpet~depot:,node,33031,31535,10,
farmine|carpet~depot:,node,33025,31536,10,
farmine|carpet~depot:,stand,33024,31531,10,
farmine|carpet~depot:,node,33024,31525,11,
farmine|carpet~depot:,stand,33024,31531,11,
farmine|carpet~depot:,node,33018,31534,10,
farmine|carpet~depot:,node,33016,31528,10,
farmine|carpet~depot:,node,33016,31522,10,
farmine|carpet~depot:,node,33016,31516,10,
farmine|carpet~depot:,node,33010,31515,10,
farmine|carpet~depot:,node,33004,31511,10,
farmine|carpet~depot:,node,33002,31505,10,
farmine|carpet~depot:,node,33002,31499,10,
farmine|carpet~depot:,node,33002,31493,10,
farmine|carpet~depot:,node,33002,31487,10,
farmine|carpet~depot:,node,33002,31481,10,
farmine|carpet~depot:,node,33008,31476,10,
farmine|carpet~depot:,node,33014,31473,10,
farmine|carpet~depot:,node,33016,31467,10,
farmine|carpet~depot:,node,33018,31461,10,
farmine|carpet~depot:,stand,33019,31458,10,
farmine|carpet~depot:,stand,33024,31452,11,

# --- farmine|depot~boat: (25 waypoints) ---
farmine|depot~boat:,stand,33026,31454,11,
farmine|depot~boat:,stand,33020,31458,11,
farmine|depot~boat:,stand,33019,31458,11,
farmine|depot~boat:,stand,33017,31464,10,
farmine|depot~boat:,stand,33016,31470,10,
farmine|depot~boat:,stand,33012,31476,10,
farmine|depot~boat:,stand,33010,31482,10,
farmine|depot~boat:,stand,33004,31485,10,
farmine|depot~boat:,stand,33004,31491,10,
farmine|depot~boat:,stand,33002,31497,10,
farmine|depot~boat:,stand,33002,31503,10,
farmine|depot~boat:,stand,33002,31509,10,
farmine|depot~boat:,stand,33003,31515,10,
farmine|depot~boat:,stand,33009,31520,10,
farmine|depot~boat:,stand,33015,31525,10,
farmine|depot~boat:,stand,33020,31531,10,
farmine|depot~boat:,stand,33024,31531,10,
farmine|depot~boat:,stand,33024,31525,11,
farmine|depot~boat:,stand,33024,31524,11,
farmine|depot~boat:,stand,33024,31524,11,
farmine|depot~boat:,stand,33024,31531,11,
farmine|depot~boat:,stand,33024,31537,10,
farmine|depot~boat:,stand,33024,31543,10,
farmine|depot~boat:,stand,33024,31549,10,
farmine|depot~boat:,stand,33025,31552,10,

# --- farmine|depot~carpet: (44 waypoints) ---
farmine|depot~carpet:,stand,33026,31454,11,
farmine|depot~carpet:,stand,33020,31458,11,
farmine|depot~carpet:,stand,33019,31458,11,
farmine|depot~carpet:,stand,33017,31464,10,
farmine|depot~carpet:,stand,33016,31470,10,
farmine|depot~carpet:,stand,33012,31476,10,
farmine|depot~carpet:,stand,33010,31482,10,
farmine|depot~carpet:,stand,33004,31485,10,
farmine|depot~carpet:,stand,33004,31491,10,
farmine|depot~carpet:,stand,33002,31497,10,
farmine|depot~carpet:,stand,33002,31503,10,
farmine|depot~carpet:,stand,33002,31509,10,
farmine|depot~carpet:,stand,33003,31515,10,
farmine|depot~carpet:,stand,33009,31520,10,
farmine|depot~carpet:,stand,33015,31525,10,
farmine|depot~carpet:,stand,33020,31531,10,
farmine|depot~carpet:,stand,33024,31531,10,
farmine|depot~carpet:,stand,33024,31525,11,
farmine|depot~carpet:,stand,33024,31524,11,
farmine|depot~carpet:,stand,33024,31524,11,
farmine|depot~carpet:,stand,33024,31530,11,
farmine|depot~carpet:,stand,33024,31531,11,
farmine|depot~carpet:,stand,33030,31535,10,
farmine|depot~carpet:,stand,33036,31535,10,
farmine|depot~carpet:,stand,33042,31535,10,
farmine|depot~carpet:,stand,33048,31532,10,
farmine|depot~carpet:,stand,33054,31532,10,
farmine|depot~carpet:,stand,33060,31532,10,
farmine|depot~carpet:,use_with,33061,31529,10,0
farmine|depot~carpet:,use_with,33061,31529,10,0
farmine|depot~carpet:,stand,33061,31527,10,
farmine|depot~carpet:,use_with,33062,31527,10,0
farmine|depot~carpet:,use_with,33062,31527,10,0
farmine|depot~carpet:,stand,33061,31527,10,
farmine|depot~carpet:,stand,32993,31548,4,
farmine|depot~carpet:,use_with,32990,31547,4,0
farmine|depot~carpet:,use_with,32990,31547,4,0
farmine|depot~carpet:,stand,32990,31541,4,
farmine|depot~carpet:,stand,32991,31539,4,
farmine|depot~carpet:,use_with,32992,31539,4,0
farmine|depot~carpet:,use_with,32992,31539,4,0
farmine|depot~carpet:,stand,32991,31539,4,
farmine|depot~carpet:,stand,32985,31539,1,
farmine|depot~carpet:,stand,32983,31539,1,
