source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- feyrist|temple~boat: (31 waypoints) ---
feyrist|depot~boat:,stand,32362,32215,7,
feyrist|depot~boat:,stand,32356,32215,7,
feyrist|depot~boat:,stand,32350,32215,7,
feyrist|depot~boat:,stand,32344,32215,7,
feyrist|depot~boat:,stand,32338,32215,7,
feyrist|depot~boat:,stand,32332,32215,7,
feyrist|depot~boat:,stand,32326,32215,7,
feyrist|depot~boat:,use_with,32321,32211,7,0
feyrist|depot~boat:,stand,32321,32212,7,
feyrist|depot~boat:,stand,32315,32212,6,
feyrist|depot~boat:,stand,32310,32211,6,
