source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- roshamuul|temple~depot: (11 waypoints) ---
roshamuul|depot~boat:,node,32369,32240,7,
roshamuul|depot~boat:,node,32369,32234,7,
roshamuul|depot~boat:,node,32369,32228,7,
roshamuul|depot~boat:,node,32369,32222,7,
roshamuul|depot~boat:,node,32369,32216,7,
roshamuul|depot~boat:,node,32363,32216,7,
roshamuul|depot~boat:,node,32357,32216,7,
roshamuul|depot~boat:,node,32351,32216,7,
roshamuul|depot~boat:,node,32345,32216,7,
roshamuul|depot~boat:,node,32339,32216,7,
roshamuul|depot~boat:,node,32333,32216,7,
roshamuul|depot~boat:,node,32327,32216,7,
roshamuul|depot~boat:,stand,32321,32211,7,
roshamuul|depot~boat:,use_with,32321,32211,7,0
roshamuul|depot~boat:,stand,32321,32211,7,
roshamuul|depot~boat:,node,32315,32212,6,
roshamuul|depot~boat:,stand,32310,32211,6,
