source_name,waypoint_type,pos_x,pos_y,pos_z,action_label

# --- venore|boat~boat: (2 waypoints) ---
venore|soft.boots~boat:,stand,32955,32022,6,

# --- venore|food~boat: (8 waypoints) ---
venore|food~boat:,node,32976,32044,6,
venore|food~boat:,node,32974,32052,6,
venore|food~boat:,node,32966,32053,6,
venore|food~boat:,node,32955,32052,6,
venore|food~boat:,node,32954,32042,6,
venore|food~boat:,node,32955,32031,6,
venore|food~boat:,node,32955,32022,6,
venore|food~boat:,stand,32955,32022,6,

# --- venore|runes~boat: (10 waypoints) ---
venore|runes~boat:,node,32976,32079,6,
venore|runes~boat:,node,32976,32074,6,
venore|runes~boat:,node,32967,32072,6,
venore|runes~boat:,node,32954,32072,6,
venore|runes~boat:,node,32954,32064,6,
venore|runes~boat:,node,32954,32053,6,
venore|runes~boat:,node,32954,32040,6,
venore|runes~boat:,node,32955,32030,6,
venore|runes~boat:,node,32955,32022,6,
venore|runes~boat:,stand,32955,32022,6,

# --- venore|potions~boat: (10 waypoints) ---
venore|potions~boat:,node,32976,32079,6,
venore|potions~boat:,node,32976,32074,6,
venore|potions~boat:,node,32967,32072,6,
venore|potions~boat:,node,32954,32072,6,
venore|potions~boat:,node,32954,32064,6,
venore|potions~boat:,node,32954,32053,6,
venore|potions~boat:,node,32954,32040,6,
venore|potions~boat:,node,32955,32030,6,
venore|potions~boat:,node,32955,32022,6,
venore|potions~boat:,stand,32955,32022,6,

# --- venore|temple~boat: (8 waypoints) ---
venore|temple~boat:,node,32954,32077,7,
venore|temple~boat:,stand,32953,32077,7,
venore|temple~boat:,node,32954,32070,6,
venore|temple~boat:,node,32954,32058,6,
venore|temple~boat:,node,32954,32046,6,
venore|temple~boat:,node,32955,32032,6,
venore|temple~boat:,node,32955,32022,6,
venore|temple~boat:,stand,32955,32022,6,

# --- venore|depot~boat: (15 waypoints) ---
venore|depot~boat:,node,33019,32058,6,
venore|depot~boat:,stand,33020,32059,6,
venore|depot~boat:,node,33017,32059,7,
venore|depot~boat:,stand,33020,32059,7,
venore|depot~boat:,node,33016,32054,6,
venore|depot~boat:,node,33006,32053,6,
venore|depot~boat:,node,32994,32053,6,
venore|depot~boat:,node,32982,32053,6,
venore|depot~boat:,node,32970,32053,6,
venore|depot~boat:,node,32958,32053,6,
venore|depot~boat:,node,32954,32050,6,
venore|depot~boat:,node,32954,32040,6,
venore|depot~boat:,node,32955,32030,6,
venore|depot~boat:,node,32955,32022,6,
venore|depot~boat:,stand,32955,32022,6,

# --- venore|bank~boat: (11 waypoints) ---
venore|bank~boat:,node,33016,32054,6,
venore|bank~boat:,node,33006,32053,6,
venore|bank~boat:,node,32994,32053,6,
venore|bank~boat:,node,32982,32053,6,
venore|bank~boat:,node,32970,32053,6,
venore|bank~boat:,node,32958,32053,6,
venore|bank~boat:,node,32954,32050,6,
venore|bank~boat:,node,32954,32040,6,
venore|bank~boat:,node,32955,32030,6,
venore|bank~boat:,node,32955,32022,6,
venore|bank~boat:,stand,32955,32022,6,

# --- venore|loot.yanni~boat: (14 waypoints) ---
venore|loot.yanni~boat:,node,32908,32118,6,
venore|loot.yanni~boat:,node,32908,32125,6,
venore|loot.yanni~boat:,node,32920,32125,6,
venore|loot.yanni~boat:,node,32936,32125,6,
venore|loot.yanni~boat:,node,32936,32109,6,
venore|loot.yanni~boat:,node,32936,32096,6,
venore|loot.yanni~boat:,node,32953,32095,6,
venore|loot.yanni~boat:,node,32954,32084,6,
venore|loot.yanni~boat:,node,32954,32069,6,
venore|loot.yanni~boat:,node,32954,32055,6,
venore|loot.yanni~boat:,node,32954,32042,6,
venore|loot.yanni~boat:,node,32955,32028,6,
venore|loot.yanni~boat:,node,32955,32022,6,
venore|loot.yanni~boat:,stand,32955,32022,6,

# --- venore|loot.romella~boat: (14 waypoints) ---
venore|loot.romella~boat:,node,32908,32118,6,
venore|loot.romella~boat:,node,32908,32125,6,
venore|loot.romella~boat:,node,32920,32125,6,
venore|loot.romella~boat:,node,32936,32125,6,
venore|loot.romella~boat:,node,32936,32109,6,
venore|loot.romella~boat:,node,32936,32096,6,
venore|loot.romella~boat:,node,32953,32095,6,
venore|loot.romella~boat:,node,32954,32084,6,
venore|loot.romella~boat:,node,32954,32069,6,
venore|loot.romella~boat:,node,32954,32055,6,
venore|loot.romella~boat:,node,32954,32042,6,
venore|loot.romella~boat:,node,32955,32028,6,
venore|loot.romella~boat:,node,32955,32022,6,
venore|loot.romella~boat:,stand,32955,32022,6,

# --- venore|ammo~boat: (14 waypoints) ---
venore|ammo~boat:,node,32908,32118,6,
venore|ammo~boat:,node,32908,32125,6,
venore|ammo~boat:,node,32920,32125,6,
venore|ammo~boat:,node,32936,32125,6,
venore|ammo~boat:,node,32936,32109,6,
venore|ammo~boat:,node,32936,32096,6,
venore|ammo~boat:,node,32953,32095,6,
venore|ammo~boat:,node,32954,32084,6,
venore|ammo~boat:,node,32954,32069,6,
venore|ammo~boat:,node,32954,32055,6,
venore|ammo~boat:,node,32954,32042,6,
venore|ammo~boat:,node,32955,32028,6,
venore|ammo~boat:,node,32955,32022,6,
venore|ammo~boat:,stand,32955,32022,6,

# --- venore|west.gate~boat: (17 waypoints) ---
venore|west.gate~boat:,node,32861,32126,7,
venore|west.gate~boat:,stand,32862,32126,7,
venore|west.gate~boat:,node,32871,32126,6,
venore|west.gate~boat:,node,32886,32126,6,
venore|west.gate~boat:,node,32901,32126,6,
venore|west.gate~boat:,node,32917,32126,6,
venore|west.gate~boat:,node,32933,32126,6,
venore|west.gate~boat:,node,32936,32113,6,
venore|west.gate~boat:,node,32936,32100,6,
venore|west.gate~boat:,node,32948,32096,6,
venore|west.gate~boat:,node,32954,32086,6,
venore|west.gate~boat:,node,32954,32068,6,
venore|west.gate~boat:,node,32954,32054,6,
venore|west.gate~boat:,node,32954,32042,6,
venore|west.gate~boat:,node,32955,32029,6,
venore|west.gate~boat:,node,32955,32022,6,
venore|west.gate~boat:,stand,32955,32022,6,

# --- venore|north.gate~boat: (16 waypoints) ---
venore|north.gate~boat:,node,32866,32032,7,
venore|north.gate~boat:,stand,32867,32032,7,
venore|north.gate~boat:,node,32880,32032,6,
venore|north.gate~boat:,node,32897,32032,6,
venore|north.gate~boat:,node,32898,32037,6,
venore|north.gate~boat:,node,32908,32037,6,
venore|north.gate~boat:,node,32918,32037,6,
venore|north.gate~boat:,node,32918,32044,6,
venore|north.gate~boat:,node,32919,32052,6,
venore|north.gate~boat:,node,32931,32052,6,
venore|north.gate~boat:,node,32943,32052,6,
venore|north.gate~boat:,node,32954,32052,6,
venore|north.gate~boat:,node,32954,32042,6,
venore|north.gate~boat:,node,32955,32030,6,
venore|north.gate~boat:,node,32955,32022,6,
venore|north.gate~boat:,stand,32955,32022,6,

# --- venore|south.gate~boat: (16 waypoints) ---
venore|south.gate~boat:,node,32936,32160,7,
venore|south.gate~boat:,stand,32936,32159,7,
venore|south.gate~boat:,node,32936,32150,6,
venore|south.gate~boat:,node,32936,32137,6,
venore|south.gate~boat:,node,32936,32125,6,
venore|south.gate~boat:,node,32936,32113,6,
venore|south.gate~boat:,node,32936,32101,6,
venore|south.gate~boat:,node,32940,32096,6,
venore|south.gate~boat:,node,32953,32095,6,
venore|south.gate~boat:,node,32954,32084,6,
venore|south.gate~boat:,node,32954,32070,6,
venore|south.gate~boat:,node,32954,32058,6,
venore|south.gate~boat:,node,32954,32043,6,
venore|south.gate~boat:,node,32955,32030,6,
venore|south.gate~boat:,node,32955,32022,6,
venore|south.gate~boat:,stand,32955,32022,6,

# --- venore|trainers~boat: (16 waypoints) ---
venore|trainers~boat:,node,32934,32078,11,
venore|trainers~boat:,ladder,32932,32077,11,
venore|trainers~boat:,ladder,32933,32077,10,
venore|trainers~boat:,stand,32932,32079,9,
venore|trainers~boat:,stand,32931,32077,8,
venore|trainers~boat:,node,32935,32075,7,
venore|trainers~boat:,stand,32935,32075,7,
venore|trainers~boat:,node,32940,32070,6,
venore|trainers~boat:,node,32949,32070,6,
venore|trainers~boat:,node,32953,32067,6,
venore|trainers~boat:,node,32953,32059,6,
venore|trainers~boat:,node,32953,32051,6,
venore|trainers~boat:,node,32953,32043,6,
venore|trainers~boat:,node,32954,32033,6,
venore|trainers~boat:,node,32954,32022,6,
venore|trainers~boat:,stand,32954,32022,6,

# --- venore|runes~runes: (2 waypoints) ---
venore|runes~runes:,node,32971,32082,6,
venore|runes~runes:,stand,32971,32082,6,

# --- venore|east.gate~runes: (1 waypoints) ---
venore|east.gate~runes:,node,33004,32100,7,

# --- venore|trainers~runes: (15 waypoints) ---
venore|trainers~runes:,node,32934,32078,11,
venore|trainers~runes:,ladder,32932,32077,11,
venore|trainers~runes:,ladder,32933,32077,10,
venore|trainers~runes:,stand,32932,32079,9,
venore|trainers~runes:,stand,32931,32077,8,
venore|trainers~runes:,node,32935,32075,7,
venore|trainers~runes:,stand,32935,32075,7,
venore|trainers~runes:,node,32938,32071,6,
venore|trainers~runes:,node,32947,32071,6,
venore|trainers~runes:,node,32955,32072,6,
venore|trainers~runes:,node,32965,32073,6,
venore|trainers~runes:,node,32973,32073,6,
venore|trainers~runes:,node,32975,32079,6,
venore|trainers~runes:,node,32970,32082,6,
venore|trainers~runes:,stand,32970,32082,6,

# --- venore|boat~runes: (10 waypoints) ---
venore|boat~runes:,node,32955,32030,6,
venore|boat~runes:,node,32954,32040,6,
venore|boat~runes:,node,32954,32053,6,
venore|boat~runes:,node,32954,32064,6,
venore|boat~runes:,node,32954,32072,6,
venore|boat~runes:,node,32967,32072,6,
venore|boat~runes:,node,32976,32074,6,
venore|boat~runes:,node,32976,32079,6,
venore|boat~runes:,node,32970,32082,6,
venore|boat~runes:,stand,32970,32082,6,

# --- venore|potions~runes: (2 waypoints) ---
venore|potions~runes:,node,32970,32082,6,
venore|potions~runes:,stand,32970,32082,6,

# --- venore|temple~runes: (8 waypoints) ---
venore|temple~runes:,node,32953,32077,7,
venore|temple~runes:,stand,32953,32077,7,
venore|temple~runes:,stand,32956,32075,6,
venore|temple~runes:,node,32964,32073,6,
venore|temple~runes:,node,32973,32073,6,
venore|temple~runes:,node,32975,32079,6,
venore|temple~runes:,node,32970,32082,6,
venore|temple~runes:,stand,32970,32082,6,

# --- venore|bank~runes: (10 waypoints) ---
venore|bank~runes:,node,33011,32053,6,
venore|bank~runes:,node,33001,32053,6,
venore|bank~runes:,node,32993,32053,6,
venore|bank~runes:,node,32985,32053,6,
venore|bank~runes:,node,32982,32058,6,
venore|bank~runes:,node,32982,32067,6,
venore|bank~runes:,node,32978,32073,6,
venore|bank~runes:,node,32975,32079,6,
venore|bank~runes:,node,32970,32082,6,
venore|bank~runes:,stand,32970,32082,6,

# --- venore|depot~runes: (15 waypoints) ---
venore|depot~runes:,node,33019,32058,6,
venore|depot~runes:,stand,33020,32059,6,
venore|depot~runes:,node,33017,32057,7,
venore|depot~runes:,stand,33020,32059,7,
venore|depot~runes:,node,33017,32055,6,
venore|depot~runes:,node,33011,32053,6,
venore|depot~runes:,node,33001,32053,6,
venore|depot~runes:,node,32993,32053,6,
venore|depot~runes:,node,32985,32053,6,
venore|depot~runes:,node,32982,32058,6,
venore|depot~runes:,node,32982,32067,6,
venore|depot~runes:,node,32978,32073,6,
venore|depot~runes:,node,32975,32079,6,
venore|depot~runes:,node,32970,32082,6,
venore|depot~runes:,stand,32970,32082,6,

# --- venore|ammo~runes: (16 waypoints) ---
venore|ammo~runes:,node,32908,32120,6,
venore|ammo~runes:,node,32912,32125,6,
venore|ammo~runes:,node,32922,32125,6,
venore|ammo~runes:,node,32934,32125,6,
venore|ammo~runes:,node,32936,32116,6,
venore|ammo~runes:,node,32936,32106,6,
venore|ammo~runes:,node,32936,32096,6,
venore|ammo~runes:,node,32947,32096,6,
venore|ammo~runes:,node,32953,32092,6,
venore|ammo~runes:,node,32954,32082,6,
venore|ammo~runes:,stand,32959,32078,6,
venore|ammo~runes:,node,32964,32073,6,
venore|ammo~runes:,node,32973,32073,6,
venore|ammo~runes:,node,32975,32079,6,
venore|ammo~runes:,node,32970,32082,6,
venore|ammo~runes:,stand,32970,32082,6,

# --- venore|loot.yanni~runes: (16 waypoints) ---
venore|loot.yanni~runes:,node,32908,32120,6,
venore|loot.yanni~runes:,node,32912,32125,6,
venore|loot.yanni~runes:,node,32922,32125,6,
venore|loot.yanni~runes:,node,32934,32125,6,
venore|loot.yanni~runes:,node,32936,32116,6,
venore|loot.yanni~runes:,node,32936,32106,6,
venore|loot.yanni~runes:,node,32936,32096,6,
venore|loot.yanni~runes:,node,32947,32096,6,
venore|loot.yanni~runes:,node,32953,32092,6,
venore|loot.yanni~runes:,node,32954,32082,6,
venore|loot.yanni~runes:,stand,32959,32078,6,
venore|loot.yanni~runes:,node,32964,32073,6,
venore|loot.yanni~runes:,node,32973,32073,6,
venore|loot.yanni~runes:,node,32975,32079,6,
venore|loot.yanni~runes:,node,32970,32082,6,
venore|loot.yanni~runes:,stand,32970,32082,6,

# --- venore|loot.romella~runes: (16 waypoints) ---
venore|loot.romella~runes:,node,32908,32120,6,
venore|loot.romella~runes:,node,32912,32125,6,
venore|loot.romella~runes:,node,32922,32125,6,
venore|loot.romella~runes:,node,32934,32125,6,
venore|loot.romella~runes:,node,32936,32116,6,
venore|loot.romella~runes:,node,32936,32106,6,
venore|loot.romella~runes:,node,32936,32096,6,
venore|loot.romella~runes:,node,32947,32096,6,
venore|loot.romella~runes:,node,32953,32092,6,
venore|loot.romella~runes:,node,32954,32082,6,
venore|loot.romella~runes:,stand,32959,32078,6,
venore|loot.romella~runes:,node,32964,32073,6,
venore|loot.romella~runes:,node,32973,32073,6,
venore|loot.romella~runes:,node,32975,32079,6,
venore|loot.romella~runes:,node,32970,32082,6,
venore|loot.romella~runes:,stand,32970,32082,6,

# --- venore|north.gate~runes: (19 waypoints) ---
venore|north.gate~runes:,node,32866,32032,7,
venore|north.gate~runes:,stand,32867,32032,7,
venore|north.gate~runes:,node,32877,32032,6,
venore|north.gate~runes:,node,32887,32032,6,
venore|north.gate~runes:,node,32897,32032,6,
venore|north.gate~runes:,node,32903,32036,6,
venore|north.gate~runes:,node,32914,32036,6,
venore|north.gate~runes:,node,32919,32042,6,
venore|north.gate~runes:,node,32919,32052,6,
venore|north.gate~runes:,node,32931,32052,6,
venore|north.gate~runes:,node,32942,32052,6,
venore|north.gate~runes:,node,32952,32055,6,
venore|north.gate~runes:,node,32954,32064,6,
venore|north.gate~runes:,node,32954,32071,6,
venore|north.gate~runes:,node,32964,32073,6,
venore|north.gate~runes:,node,32973,32073,6,
venore|north.gate~runes:,node,32975,32079,6,
venore|north.gate~runes:,node,32970,32082,6,
venore|north.gate~runes:,stand,32970,32082,6,

# --- venore|west.gate~runes: (20 waypoints) ---
venore|west.gate~runes:,node,32861,32126,7,
venore|west.gate~runes:,stand,32862,32126,7,
venore|west.gate~runes:,node,32874,32126,6,
venore|west.gate~runes:,node,32888,32126,6,
venore|west.gate~runes:,node,32902,32126,6,
venore|west.gate~runes:,node,32912,32125,6,
venore|west.gate~runes:,node,32922,32125,6,
venore|west.gate~runes:,node,32934,32125,6,
venore|west.gate~runes:,node,32936,32116,6,
venore|west.gate~runes:,node,32936,32106,6,
venore|west.gate~runes:,node,32936,32096,6,
venore|west.gate~runes:,node,32947,32096,6,
venore|west.gate~runes:,node,32953,32092,6,
venore|west.gate~runes:,node,32954,32082,6,
venore|west.gate~runes:,stand,32959,32078,6,
venore|west.gate~runes:,node,32964,32073,6,
venore|west.gate~runes:,node,32973,32073,6,
venore|west.gate~runes:,node,32975,32079,6,
venore|west.gate~runes:,node,32970,32082,6,
venore|west.gate~runes:,stand,32970,32082,6,

# --- venore|south.gate~runes: (18 waypoints) ---
venore|south.gate~runes:,node,32936,32160,7,
venore|south.gate~runes:,stand,32936,32159,7,
venore|south.gate~runes:,node,32936,32152,6,
venore|south.gate~runes:,node,32936,32141,6,
venore|south.gate~runes:,node,32936,32131,6,
venore|south.gate~runes:,node,32936,32123,6,
venore|south.gate~runes:,node,32936,32116,6,
venore|south.gate~runes:,node,32936,32106,6,
venore|south.gate~runes:,node,32936,32096,6,
venore|south.gate~runes:,node,32947,32096,6,
venore|south.gate~runes:,node,32953,32092,6,
venore|south.gate~runes:,node,32954,32082,6,
venore|south.gate~runes:,stand,32959,32078,6,
venore|south.gate~runes:,node,32964,32073,6,
venore|south.gate~runes:,node,32973,32073,6,
venore|south.gate~runes:,node,32975,32079,6,
venore|south.gate~runes:,node,32970,32082,6,
venore|south.gate~runes:,stand,32970,32082,6,

# --- venore|food~runes: (8 waypoints) ---
venore|food~runes:,node,32976,32044,6,
venore|food~runes:,node,32978,32052,6,
venore|food~runes:,node,32982,32058,6,
venore|food~runes:,node,32981,32067,6,
venore|food~runes:,node,32977,32074,6,
venore|food~runes:,node,32974,32081,6,
venore|food~runes:,node,32970,32085,6,
venore|food~runes:,stand,32970,32082,6,

# --- venore|soft.boots~runes: (10 waypoints) ---
venore|soft.boots~runes:,node,32950,32104,6,
venore|soft.boots~runes:,node,32949,32097,6,
venore|soft.boots~runes:,node,32953,32092,6,
venore|soft.boots~runes:,node,32954,32082,6,
venore|soft.boots~runes:,stand,32959,32078,6,
venore|soft.boots~runes:,node,32964,32073,6,
venore|soft.boots~runes:,node,32973,32073,6,
venore|soft.boots~runes:,node,32975,32079,6,
venore|soft.boots~runes:,node,32970,32082,6,
venore|soft.boots~runes:,stand,32970,32082,6,

# --- venore|potions~potions: (2 waypoints) ---
venore|potions~potions:,node,32970,32085,6,
venore|potions~potions:,stand,32970,32085,6,

# --- venore|east.gate~potions: (1 waypoints) ---
venore|east.gate~potions:,node,33004,32100,7,

# --- venore|trainers~potions: (15 waypoints) ---
venore|trainers~potions:,node,32934,32078,11,
venore|trainers~potions:,ladder,32932,32077,11,
venore|trainers~potions:,ladder,32933,32077,10,
venore|trainers~potions:,stand,32932,32079,9,
venore|trainers~potions:,stand,32931,32077,8,
venore|trainers~potions:,node,32935,32075,7,
venore|trainers~potions:,stand,32935,32075,7,
venore|trainers~potions:,node,32938,32071,6,
venore|trainers~potions:,node,32947,32071,6,
venore|trainers~potions:,node,32955,32072,6,
venore|trainers~potions:,node,32965,32073,6,
venore|trainers~potions:,node,32973,32073,6,
venore|trainers~potions:,node,32975,32079,6,
venore|trainers~potions:,node,32970,32085,6,
venore|trainers~potions:,stand,32970,32085,6,

# --- venore|food~potions: (8 waypoints) ---
venore|food~potions:,node,32976,32044,6,
venore|food~potions:,node,32978,32052,6,
venore|food~potions:,node,32982,32058,6,
venore|food~potions:,node,32981,32067,6,
venore|food~potions:,node,32977,32074,6,
venore|food~potions:,node,32974,32081,6,
venore|food~potions:,node,32970,32085,6,
venore|food~potions:,stand,32970,32085,6,

# --- venore|boat~potions: (10 waypoints) ---
venore|boat~potions:,node,32955,32030,6,
venore|boat~potions:,node,32954,32040,6,
venore|boat~potions:,node,32954,32053,6,
venore|boat~potions:,node,32954,32064,6,
venore|boat~potions:,node,32954,32072,6,
venore|boat~potions:,node,32967,32072,6,
venore|boat~potions:,node,32976,32074,6,
venore|boat~potions:,node,32976,32079,6,
venore|boat~potions:,node,32970,32085,6,
venore|boat~potions:,stand,32970,32085,6,

# --- venore|temple~potions: (8 waypoints) ---
venore|temple~potions:,node,32953,32077,7,
venore|temple~potions:,stand,32953,32077,7,
venore|temple~potions:,stand,32956,32075,6,
venore|temple~potions:,node,32964,32073,6,
venore|temple~potions:,node,32973,32073,6,
venore|temple~potions:,node,32975,32079,6,
venore|temple~potions:,node,32970,32085,6,
venore|temple~potions:,stand,32970,32085,6,

# --- venore|bank~potions: (10 waypoints) ---
venore|bank~potions:,node,33011,32053,6,
venore|bank~potions:,node,33001,32053,6,
venore|bank~potions:,node,32993,32053,6,
venore|bank~potions:,node,32985,32053,6,
venore|bank~potions:,node,32982,32058,6,
venore|bank~potions:,node,32982,32067,6,
venore|bank~potions:,node,32978,32073,6,
venore|bank~potions:,node,32975,32079,6,
venore|bank~potions:,node,32970,32085,6,
venore|bank~potions:,stand,32970,32085,6,

# --- venore|depot~potions: (15 waypoints) ---
venore|depot~potions:,node,33019,32058,6,
venore|depot~potions:,stand,33020,32059,6,
venore|depot~potions:,node,33017,32057,7,
venore|depot~potions:,stand,33020,32059,7,
venore|depot~potions:,node,33017,32055,6,
venore|depot~potions:,node,33011,32053,6,
venore|depot~potions:,node,33001,32053,6,
venore|depot~potions:,node,32993,32053,6,
venore|depot~potions:,node,32985,32053,6,
venore|depot~potions:,node,32982,32058,6,
venore|depot~potions:,node,32982,32067,6,
venore|depot~potions:,node,32978,32073,6,
venore|depot~potions:,node,32975,32079,6,
venore|depot~potions:,node,32970,32085,6,
venore|depot~potions:,stand,32970,32085,6,

# --- venore|ammo~potions: (16 waypoints) ---
venore|ammo~potions:,node,32908,32120,6,
venore|ammo~potions:,node,32912,32125,6,
venore|ammo~potions:,node,32922,32125,6,
venore|ammo~potions:,node,32934,32125,6,
venore|ammo~potions:,node,32936,32116,6,
venore|ammo~potions:,node,32936,32106,6,
venore|ammo~potions:,node,32936,32096,6,
venore|ammo~potions:,node,32947,32096,6,
venore|ammo~potions:,node,32953,32092,6,
venore|ammo~potions:,node,32954,32082,6,
venore|ammo~potions:,stand,32959,32078,6,
venore|ammo~potions:,node,32964,32073,6,
venore|ammo~potions:,node,32973,32073,6,
venore|ammo~potions:,node,32975,32079,6,
venore|ammo~potions:,node,32970,32085,6,
venore|ammo~potions:,stand,32970,32085,6,

# --- venore|loot.yanni~potions: (16 waypoints) ---
venore|loot.yanni~potions:,node,32908,32120,6,
venore|loot.yanni~potions:,node,32912,32125,6,
venore|loot.yanni~potions:,node,32922,32125,6,
venore|loot.yanni~potions:,node,32934,32125,6,
venore|loot.yanni~potions:,node,32936,32116,6,
venore|loot.yanni~potions:,node,32936,32106,6,
venore|loot.yanni~potions:,node,32936,32096,6,
venore|loot.yanni~potions:,node,32947,32096,6,
venore|loot.yanni~potions:,node,32953,32092,6,
venore|loot.yanni~potions:,node,32954,32082,6,
venore|loot.yanni~potions:,stand,32959,32078,6,
venore|loot.yanni~potions:,node,32964,32073,6,
venore|loot.yanni~potions:,node,32973,32073,6,
venore|loot.yanni~potions:,node,32975,32079,6,
venore|loot.yanni~potions:,node,32970,32085,6,
venore|loot.yanni~potions:,stand,32970,32085,6,

# --- venore|loot.romella~potions: (16 waypoints) ---
venore|loot.romella~potions:,node,32908,32120,6,
venore|loot.romella~potions:,node,32912,32125,6,
venore|loot.romella~potions:,node,32922,32125,6,
venore|loot.romella~potions:,node,32934,32125,6,
venore|loot.romella~potions:,node,32936,32116,6,
venore|loot.romella~potions:,node,32936,32106,6,
venore|loot.romella~potions:,node,32936,32096,6,
venore|loot.romella~potions:,node,32947,32096,6,
venore|loot.romella~potions:,node,32953,32092,6,
venore|loot.romella~potions:,node,32954,32082,6,
venore|loot.romella~potions:,stand,32959,32078,6,
venore|loot.romella~potions:,node,32964,32073,6,
venore|loot.romella~potions:,node,32973,32073,6,
venore|loot.romella~potions:,node,32975,32079,6,
venore|loot.romella~potions:,node,32970,32085,6,
venore|loot.romella~potions:,stand,32970,32085,6,

# --- venore|north.gate~potions: (19 waypoints) ---
venore|north.gate~potions:,node,32866,32032,7,
venore|north.gate~potions:,stand,32867,32032,7,
venore|north.gate~potions:,node,32877,32032,6,
venore|north.gate~potions:,node,32887,32032,6,
venore|north.gate~potions:,node,32897,32032,6,
venore|north.gate~potions:,node,32903,32036,6,
venore|north.gate~potions:,node,32914,32036,6,
venore|north.gate~potions:,node,32919,32042,6,
venore|north.gate~potions:,node,32919,32052,6,
venore|north.gate~potions:,node,32931,32052,6,
venore|north.gate~potions:,node,32942,32052,6,
venore|north.gate~potions:,node,32952,32055,6,
venore|north.gate~potions:,node,32954,32064,6,
venore|north.gate~potions:,node,32954,32071,6,
venore|north.gate~potions:,node,32964,32073,6,
venore|north.gate~potions:,node,32973,32073,6,
venore|north.gate~potions:,node,32975,32079,6,
venore|north.gate~potions:,node,32970,32085,6,
venore|north.gate~potions:,stand,32970,32085,6,

# --- venore|west.gate~potions: (20 waypoints) ---
venore|west.gate~potions:,node,32861,32126,7,
venore|west.gate~potions:,stand,32862,32126,7,
venore|west.gate~potions:,node,32874,32126,6,
venore|west.gate~potions:,node,32888,32126,6,
venore|west.gate~potions:,node,32902,32126,6,
venore|west.gate~potions:,node,32912,32125,6,
venore|west.gate~potions:,node,32922,32125,6,
venore|west.gate~potions:,node,32934,32125,6,
venore|west.gate~potions:,node,32936,32116,6,
venore|west.gate~potions:,node,32936,32106,6,
venore|west.gate~potions:,node,32936,32096,6,
venore|west.gate~potions:,node,32947,32096,6,
venore|west.gate~potions:,node,32953,32092,6,
venore|west.gate~potions:,node,32954,32082,6,
venore|west.gate~potions:,stand,32959,32078,6,
